식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,인스 타 그램,페이스 북,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,추가 장비,영상,QR 코드 결제,X (트위터),외국어 지원,맥주 제작자,온라인 예약
レストラン 舟茶屋,레스토랑 funachaya,https://retty.me/area/PRE13/ARE13/SUB1303/100001211707/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEAK HOUSE BRASE,스테이크 하우스 브라서,https://retty.me/area/PRE13/ARE13/SUB1303/100001491253/,03-6910-4862,"스테이크, 햄버거, 서양 음식, 테이크 아웃","[하루 종일]
점심 11 : 30-16 : 00
저녁 식사 16 : 00-23 : 30 L.O. 23:00","하루 종일 개점
자세한 내용은 공식 FB를 확인하십시오.","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Rakuten Edy, Quicpay","Hajime Nobiru 1f, 8-1-1 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
오사키 히로 코지 역에서 도쿄 이케 가미 라인 / 도보로 3 분 거리 (210m)
JR Yamanote Line / Gotanda Station 5 분 도보 (340m)
JR Yamanote Line / Osaki Station에서 도보로 11 분 (830m)","예
근처 (할인 없음) 사용 가능","22 석
(어린이 의자 이용 가능)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",불가능합니다,http://www.steakhousebrase.com/,https://www.instagram.com/steakhousebrase,,,,,"우리는 고기 요리, 수입 재료, 지역 생산 및 매장 내 준비에 대해 특히","맥주, 와인, 위스키",,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 와인 음료, 주차 가능, 어린이와 함께 즐거움, 세련된 저녁 식사, 쌀, 고기, 비 흡연, 개인 객실, 세련된 점심
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
숨는 곳
골목을 향합니다",,,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,없음,,사운드 장비 사용 가능,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001491253/archive/1907150-5f7af19697304.jpg,PayPay,,,,
Sticker's International Bar,스티커의 국제 바,https://retty.me/area/PRE13/ARE13/SUB1303/100000841560/,03-3441-9970,바 다트 바,"[월요일과 화요일]
 19:30-29:00 L.O. 29:00
[금요일, 토요일, 휴일으로 결혼]
 19:30-29:00
영업 시간은 하루에 따라 다를 수 있습니다","매주 일요일
국가 및 도쿄 대도시 정부의 지시에 따라, 우리는 Covid-19의 확산을 막기 위해 응급 상황 중에 폐쇄 될 것입니다.","점심:-
저녁 식사 : ~ 3,000 엔","Amex
식당
JCB",,"4 층, 1-16-10 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (200m)
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 8 분 (610m)
Toei Asakusa Line / Takanawadai Station에서 도보로 10 분 (770m)",,"38 석
(개인 실을 사용하는 경우 예약이 필요합니다)",예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,,,,,,,,,"늦은 밤 연회 및 음주 당사자 그룹 날짜 노래방 시설 연말 파티 날짜 급여 지불 지불 가능 all-you-can-drink
다른 사용 장면을 참조하십시오",,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000841560/archive/3095694-64a3e582c209c.jpeg,PayPay,,,,
東京チキン 五反田桜小路,도쿄 치킨 고탄다 사쿠라 코지,https://retty.me/area/PRE13/ARE13/SUB1303/100001259967/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
いもたろう,이모타로,https://retty.me/area/PRE13/ARE13/SUB1303/100000006452/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
トラットリア ロマーノ 五反田,Trattoria Romano Gotanda,https://retty.me/area/PRE13/ARE13/SUB1303/100000062787/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
お忍びダイニング たくみ 五反田本店,비밀 다이닝 타쿠미 고 탄드 메인 매장,https://retty.me/area/PRE13/ARE13/SUB1303/100001310940/,050-5303-9756,이자카야 해산물과 해산물 요리 일본 음식,"[하루 종일]
 17:00-23:00 L.O. 22:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Duros Higashi-Gotanda Building 3F, 1-13-3 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 1 분 도보 (59m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 6 분 (460m)
JR Yamanote Line / Osaki Station에서 도보 10 분 (800m)",없음,150 석,예,"예
완전히 흡연이 허용됩니다
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://brands.olivedining.jp/takumi/tokyo/9474664,,https://www.facebook.com/pg/takumi.gotanda.3/posts/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 4,000-4,999 엔에 대한 All-You-Can-Drink, All-You-Can-Drink Course에는 5,000 엔 이상, All-You-Can-Drink",우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"개인 실
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성",없음,,,,없음,03-6277-2839,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001310940/archive/2662088-62451511c3475.jpg,PayPay,,,,
おでん屋たけし西五反田店,Odenya Takeshi Nishi-Gotanda 지점,https://retty.me/area/PRE13/ARE13/SUB1303/100001721457/,050-5462-7836,이자카야 오덴 사시미 일본 음식 야키토리,"[월요일부터 금요일까지]
저녁 식사 16:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 15:00-22:30 L.O. 22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드",,"1-17-1 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로코지 역에서 도보 2 분 (150m)
JR Yamanote Line / Gotanda Station 3 분 도보 (210m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (680m)",예,"41 석
(32 테이블 좌석)","예
(카운터에서 9 석)","불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://oden-nishigotanda.foodre.jp/
https://shops.alwayssaisei.co.jp/detail/4920/",https://www.instagram.com/odenyatakeshi/,,,,,우리는 생선 요리를 전문으로하고 매장 내에서 준비합니다,"맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,저녁 식사 연회 및 음주 당사자 급여 지불 지불 가능 온라인 예약 가능 인기 상점 예약,,,,,,불가능합니다,예,03-6417-4111,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100001721457/archive/3542432-67caca461cb9a.jpg,PayPay,,언어 지원 메뉴가 있습니다,,
大崎キッチン,오사키 주방,https://retty.me/area/PRE13/ARE13/SUB1303/100001537384/,050-5462-2931,바 양조장 이자카야,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
저녁 11 : 30-23 : 00 L.O. 22:00
[일요일과 휴일]
저녁 11 : 30-22 : 00 L.O. 21:00
*주말과 공휴일에는 주말과 공휴일에 점심을 먹을 수 있습니다.
*저녁 식사 시간 음료 주문은 마감 시간 30 분 전입니다.",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f 오사키 센터 빌딩, 1-5-1 오사키, 시나가와 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보로 2 분 (140m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (640m)
JR Yamanote Line / Gotanda Station 9 분 도보 (650m)",없음,86 석,예,"예
(상점 안에는 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://kitchen.dkdining.com/osaki/,,,좌석 수수료가 있습니다. (코스 당시 가격에 포함),"4,000 엔에서 4,999 엔으로 구입할 수 있습니다","ALL-YOU-CAN-DRINK 가격 : 2,000-2,999 엔, 2 시간 반의 반 시간",우리는 야채 요리와 고기 요리에 대해 특별합니다,"맥주, 와인, 위스키, 칵테일",,"점심, 저녁 식사, 고기, 파티, 마시는 크래프트 맥주, 급여 판매 포인트 받기, 온라인 예약 가능, 새해 파티, 개인 실, 인기있는 식당, 캐주얼, 바삭한 새해 파티, 바삭 바삭한, 작별 인사 파티
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
테라스가 있습니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,,,,없음,050-2018-8959,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001537384/archive/3023423-5eab7f5a9724e.png,,,,,
intellctuary,지적,https://retty.me/area/PRE13/ARE13/SUB1303/100001757253/,03-6417-4445,바 비스트로,"[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00 L.O. 14:00
[월요일부터 금요일까지]
저녁 식사 17:00-22:00 L.O. 21:00
[토요일/휴일]
저녁 식사 17:00-21:00 L.O. 20:00","매주 일요일
새해 휴일 (확인하십시오)
시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"게이트 시티 오사키 웨스트 타워 B1, 1-11-1 오사키, 시나가와 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Osaki Station에서 도보 3 분 (190m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 13 분 (970m)
Keikyu Main Line / Kitashinagawa Station 13 분 도보 (970m)","예
이웃 P (할인) 사용 가능",70 석,예,"불가능합니다
(시설에 흡연 구역이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",예,"https://intellctuary.foodre.jp/
https://intellctuard.com/",https://www.prod.instagram.com/intellctuary.official/?hl=ja,https://www.facebook.com/intellctuary/,,"3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.",,"우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료 및 현지에서 생산 된 재료에 대해 특히 알 수 있으며 고객에게 알레르기가있는 고객을 수용 할 수 있습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 저녁 식사, 개인 실, 엔터테인먼트, 점심, 고기, 예약, 개인이 이용할 수있는, 지불금 지불 이용 가능, 연말 파티, 신년 파티, 작별 파티, 환영 파티, Paypay Points, 온라인 예약 가능
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
테라스가 있습니다
상업용 시설에 위치합니다","축하 가능성
휴대품 룸이 있습니다",,"예
초등학생들은 환영합니다",불가능합니다,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001757253/archive/351849-67ab0893bb0af.jpg,PayPay,https://x.com/intellctuary,"영어
언어를 말할 수있는 직원이 있습니다",,
ビーフキッチンスタンド 五反田店,쇠고기 주방 스탠드 Gotanda 상점,https://retty.me/area/PRE13/ARE13/SUB1303/100001740801/,050-5462-5658,이자카야 햄버거,"[하루 종일]
 11:00-23:00 L.O. 22:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",Suica,"8-4-13 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 2 분 (120m)
JR Yamanote Line / Gotanda Station 6 분 도보 (420m)
JR Yamanote Line / Osaki Station에서 도보로 9 분 (690m)",없음,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,"[공식적인]
https://beefkitchenstand-gotanda.foodre.jp/
https://beef-kitchen-stand-gotanda.com/",,,,,2 시간 동안 당신이 다루는 것,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 아와 모리, 샤 옥싱 와인",,"고기, 저녁 식사, 음료, 저녁 식사, 전액 마감, 지불금 지불 이용 가능, 연말 파티, 새해 파티, 모든 곡물, 작별 파티, 환영 파티, 캐주얼, 온라인 예약 가능, 온라인 예약 가능
다른 사용 장면을 참조하십시오",활발한 상점,,,불가능합니다,불가능합니다,,예,03-6417-4189,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001740801/archive/3305357-663b20a2ad1ad.jpg,PayPay,,,,
プラネット,행성,https://retty.me/area/PRE13/ARE13/SUB1303/100000042839/,03-5791-5642,이자카야 고기 바 이탈리아 바,"[월요일 ~ 목요일, 토요일 및 휴일]
 12:00-23:00 L.O. 22:30
[금요일/휴가 전]
 12:00-23:30 L.O. 23:00
[낮]
 12:00-22:00 L.O. 21:30
*자녀가있는 고객은 금요일과 공휴일 전날 저녁 시간을 사용할 수 없습니다.

[12 월 주중 저녁 식사 시간 동안 어린이는 이용할 수 없습니다]",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Gotanda Hanaya Building 1f, 5-28-10 Higashi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Gotanda Station 3 분 도보 (170m)
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 8 분 (570m)
Toei Asakusa Line / Takanawadai 역에서 도보로 12 분 (940m)",없음,40 석,예,,"예
6 명
7 명 이상",불가능합니다,,https://www.instagram.com/planet926/?locale=ja_jp,,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선","우리는 고기 요리, 생산 공간에 중점을두고 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장에서 훈련했습니다.","맥주, 와인, 위스키, 칵테일",사용 가능한 예약,"고기, 마시는 점심, 데이트, 엔터테인먼트, 저녁 식사, 소녀의 밤, 애프터 파티, 쌀, 개인 객실 엔터테인먼트, 어린이와의 재미, 점심, 개인 객실 점심, 급여 지불 지불, 급여표 포인트, 온라인 예약, 새해 파티, 인기있는 매장
다른 사용 장면을 참조하십시오","개방성이 있습니다
천장이 높습니다
차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",없음,"예
미취학 아동이 허용되며 초등학생은 허용됩니다",불가능합니다,예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000042839/archive/392677-5AAA20D64CC49.JPG,PayPay,https://twitter.com/planet95890335,언어를 말할 수있는 직원이 있습니다,선 토리,
遠野ジンギスカン酒場よし田 五反田本店,Tono Jingisu Khan Bar Yoshida Gotanda 메인 스토어,https://retty.me/area/PRE13/ARE13/SUB1303/100001530384/,050-5462-2063,Jingisu Khan Izakaya,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Sanyu Nishi-Gotanda 빌딩 1-32-4 Nishi-Gotanda, Shinagawa-Ku, 도쿄 1st 지하실 층
큰지도를보십시오","■ 스테이션에서 접근
오사키 히로 코지 역에서 도우 키 이케 가미 라인 / 도보 3 분 (170m)
JR Yamanote Line / Gotanda Station 3 분 도보 (240m)
JR Yamanote Line / Osaki Station에서 도보로 10 분 (790m)",예,40 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.meraki-inc.jp/,,,,,,,,,"저녁 식사, 라이스, 솔로, 흡연 허용, 연회 및 음주 파티, 쿠폰 이용 가능, Paypay Payment, New Year 's Party, Welcome Party, Quick and Year-End Party, 빠르고 캐주얼, 새해 파티, 캐주얼, 온라인 예약 가능
다른 사용 장면을 참조하십시오",,,,,,,예,03-6910-4800,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001530384/archive/2936503-6392e179e455e.png,PayPay,,,,
trattoria e poi,Trattoria e poi,https://retty.me/area/PRE13/ARE13/SUB1303/100001556181/,050-5262-4518,이탈리아 요리 해산물과 해산물,"[tue-fri]
점심 11:30-13:30
저녁 식사 18 : 00-23 : 30 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 16:00-23:30 L.O. 22:00
영업 시간은 하루에 따라 다를 수 있습니다",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"도쿄 모리스 빌딩 2F, 8-4-15 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 이케 가미 라인 / 오사키 히로 코지 역에서 도보 1 분 (31m)
JR Yamanote Line / Gotanda Station 5 분 도보 (360m)
JR Yamanote Line / 오사키 역에서 도보로 9 분 (650m)",없음,37 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://trattoriaepoi.foodre.jp/
https://foodplace.jp/epoi/",https://www.instagram.com/trattoria_epoi?igshid=1646r7vf4l6nn,https://www.facebook.com/trattoria-epoi-100930111834144/,,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.",,사용 가능한 예약,"점심, 저녁 식사, 점심, 연회, 음주 파티, 모든 당신이 살아 난 파티, 와인 음료, 고기, 고기, 급여 지불 지불, 크리스마스 저녁 식사, 캐주얼, 온라인 예약 가능, 인기있는 매장 예약
다른 사용 장면을 참조하십시오",,,,,,,예,03-6384-6995,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001556181/archive/2054633-5fa34b1df346f.jpg,PayPay,,,,
