식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,Wi-Fi 사용,전화 번호,외국어 지원,영상,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,전원 공급 장치 사용,X (트위터),맥주 제작자,추가 장비,온라인 예약
炉端の佐藤,Robata의 Sato,https://retty.me/area/PRE13/ARE7/SUB703/100001310294/,03-6303-3348,일본 요리 일본 요리,"[Sun, 화요일, 금요일, 토요일 및 휴일]
저녁 식사 16:00-20:00 L.O. 19:00
새로운 코로나 바이러스 감염의 확산으로 인해 영업 시간 및 공휴일은 나열된 것과 다를 수 있습니다. 방문 할 때는 사전에 상점에 확인하십시오.",매주 월요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"65 세 와드, 3-5-22 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 5 분 (330m)
Tokyu Toyoko Line / Yutenji 역에서 도보로 11 분 (820m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보 13 분 (980m)",,41 석,"예
(18 석)","연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.nurukan-sato.com/,,,,,,"싱글 싱글 엔터테인먼트/음주 파티 참여 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음소
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001310294/archive/382213-5a950c083358f.jpg,,,,,,,,
眞か,사실인가요?,https://retty.me/area/PRE13/ARE7/SUB703/100001299184/,03-6303-0862,Izakaya 비스트로 해산물과 해산물 요리 Teppanyaki Okonomiyaki,"[월요일부터 금요일과 토요일]
 17:30-1:00 L.O. 24:30
[축하해요]
 17:30-24:00 L.O. 23:30",매주 일요일,"점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1f Kitakami Building, 2-7-10 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (130m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (720m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)","예
근처 (할인 없음) 사용 가능","40 석
(1 층, 8 개의 카운터 좌석, 2 층, 16 개의 타타미 매트, 3 층, 20 개의 테이블 좌석)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 44 명",https://shinka-nakameguro.com/,,"6,000 엔에서 6,999 엔 코스, 8,000 엔 코스 이상으로 제공됩니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채, 주인 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 칵테일",저녁 식사 시간에만 사용할 수 있습니다,"데이트 소녀의 밤 결혼식 기념일 연회/음주 파티 개인 객실 참여 싱글 엔터테인먼트 성인의 성인 파티 환영 파티 cherry blossom viewing 레스토랑 크리스마스 저녁 식사 파티 새해 파티에 이용 가능합니다.
다른 사용 장면을 참조하십시오","천장이 높습니다
조용한 가게
차분한 분위기
단독 주택 레스토랑
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다",,"예
아이들은 허용되고, 미취학 아동은 허용되며, 이유식을 가져올 수 있습니다.",불가능합니다,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001299184/archive/21147-5926e76e1088f.jpg,,https://www.facebook.com/shinka.nakameguro/,"5,000 엔 이상에 대한 all-you-can-drink를 이용할 수 있으며 3 시간 넘게 만약을 만날 수 있습니다.",,,,,
中目黒いぐち 本店,Nakameguro Iguchi 메인 매장,https://retty.me/area/PRE13/ARE7/SUB703/100000718211/,03-6451-0575,야키토리,"[하루 종일]
 17:00-24:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 10,000 엔",Amex,PayPay,,"1f, 1-2-9 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (250m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 5 분 (350m)
JR Yamanote Line / Ebisu Station 10 분 도보 (740m)",,"18 석
(좌석 수 : 18-19 석, 카운터 좌석 : 8-9 석, 테이블 좌석 : 3 석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://yoyaku.toreta.in/nakameguroiguchi/,,,,,,"날짜, 그룹 날짜, 결혼 기념일, 연회 및 음주 파티, 개인 실, 참여 저녁 식사 파티, 솔로 엔터테인먼트, 성인을위한 은신처, 작별 파티, 환영 파티, 체리 꽃보기 및 체리 블로 솜, 크리스마스 파티, 새해 파티, 새해 파티와 레스토랑
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000718211/archive/1854656-5f5ef64071306.png,,,,,,,,
分店 鳥よし,지점 토리요시,https://retty.me/area/PRE13/ARE7/SUB703/100001417224/,050-5462-2583,야키토리,"[Sun, 월요일, 수요일, 금요일, 토요일, 휴일]
 16:00-22:00 L.O. 21:30
16:00 열기
22:00 가까이
21:00 마지막 항목
21:15 음식 끝
21:30 음료",매주 화요일,"점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"1f, Primo Nakameguro, 2-8-5 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 3 분 (180m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (750m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)",없음,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"[공식적인]
https://bunten-toriyoshi.foodre.jp/
https://yakitori-toriyoshi.com/",,,"우리는 고기 요리, 매장 내 생산 공간 및 매장 내 준비에 대해 특히",,,"와인 저녁 식사와 쌀 혼자서, 데이트, 어린이들과 함께 즐거운, 연말 파티 새해 파티","조용한 가게
차분한 분위기
골목을 향합니다",,,예,불가능합니다,없음,03-6412-8801,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001417224/archive/298296-63fc376dc4b1e.jpg,,,,,,,,
中目黒ないとう,나카 메 구로,https://retty.me/area/PRE13/ARE7/SUB703/100001310782/,03-6451-2623,카포/작은 식당 Izakaya,"[월요일부터 금요일과 토요일]
 19:00-1:00 L.O. 24:00
[낮]
 18:00-24:00 L.O. 21:00","불규칙한 휴일
- 예약이 필요하며 오후 7 시부 터 오후 9 시까 지 (10,000 엔)에만 사용할 수 있습니다. 오후 9 시부 터 캐릭터
・에 자세한 내용은 상점에 문의하십시오","점심:-
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",,,"3-5-20 Kamimeguro, Meguro-Ku, 도쿄 71 Nakameguro 엘리베이터 아래
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (310m)
도쿄 도요코 라인 / 유텐지 스테이션 11 분 도보 (840m)
도쿄 도요코 라인 / Daikanyama 역에서 도보로 12 분 (950m)",,"10 석
(4 테이블 좌석 x 1)","예
(6 석)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명",,,,,,,,"연회 및 음주 파티 개인 객실 약혼 저녁 식사 파티 싱글 OK Entertainment Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 세련된 저녁 식사 쌀을 마시는 세련된 개인 실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001310782/archive/1862687-5f62eb035d551.jpg,https://www.instagram.com/nakameguronaitou/,https://www.facebook.com/nakameguronaitou/,,,https://x.com/nakameguronaito,,,
ビストロ マキムシ,비스트로 마키 무시,https://retty.me/area/PRE13/ARE7/SUB703/100000059342/,03-5722-7511,프랑스 요리 와인 바 비스트로 서부 요리 국제 요리 훈제 해산물,"[tue-fri-sat]
 17:30-25:00 L.O. 23:45
[일요일과 휴일]
 17:30-24:00 L.O. 22:45",매주 월요일,"점심 : ~ 4,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,,"2-6-4 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (120m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 13 분 도보 (1.0km)",,22 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://makimushinakameguro.web.fc2.com/,,,,,,"솔로 크리스마스 저녁 식사를위한 데이트 와인을 즐기십시오. 와인 세련된 저녁 식사를 즐기십시오. 스타일리쉬 한 저녁 식사를 즐기십시오. 저녁 식사 비 흡연 페이 페이 지불 이용 가능한 성인 데이트 세련된 메리 쿠리 크리스마스 2024 성인 연말 파티 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28541732.jpg,,,,,,,,
水炊き しみず 中目黒本店,Mizutaki Shimizu Nakameguro Main Store,https://retty.me/area/PRE13/ARE7/SUB703/100000005139/,03-3793-0081,Mizutaki Karaage Sashimi Rice Chicken Dishes Lounge,"[하루 종일]
 16:00-23:00 L.O. 22:00
테이크 아웃 : 14 : 00-23 : 00 (L.O. 22:00)","하루 종일 개점
・ 새해 휴가 폐쇄","점심:-
저녁 식사 : ~ 8,000 엔",Amex,,,"리버 사이드 테라스 1F, 1-10-23 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 4 분 (280m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Ebisu Station 10 분 도보 (780m)",없음,"38 석
(7 개의 카운터 좌석, 8 개의 Hori Kotatsu 좌석, 18 개의 타타미 객실, 4 개의 반 개인 객실)",예,"불가능합니다
(완전 흡연 허용)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해",예,https://salt-group.jp/shop/shimizu/,,"4,000 엔에서 4,999 엔으로 구입할 수 있습니다",고기 요리 전문,"술, 쇼치, 와인",사용 가능한 예약,"데이트 개인 객실 약혼 저녁 식사 싱글 성인을위한 OK Entertainment Hideaway cherry blossom gooking/cherry blossom vooking 레스토랑 크리스마스 저녁 식사 술을 마시는 와인을 마시는 아이들 세련
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
숨는 곳",,,예,,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/33951066.jpg,,,,,,,,
ASADOR DEL PRADO GRILL&CAFE,Asador del Prado Grill & Cafe,https://retty.me/area/PRE13/ARE7/SUB703/100001309775/,03-6452-2740,스페인 카페 햄버거,"[하루 종일]
 11:00-26:00 L.O. 25:00",,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,,"3-5-29 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (160m)
도쿄 도요코 라인 / 다이키 야마 역 11 분 (810m)
Tokyu Toyoko Line / Yutenji 역에서 도보 13 분 (990m)",,72 석,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,http://asador.jp/del-prado/,,,,,,"점심 모든-당신이 먹는 날짜 모든 날짜 싱글 링크 연회 및 음주 파티는 솔로 작별 파티를위한 파티를 환영합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001309775/archive/1908288-5f7bbc1341bf4.jpg,,,,,https://x.com/asadordelprado,,,
炭火焼 MARU,숯 구이 마루,https://retty.me/area/PRE13/ARE7/SUB703/100000876962/,03-6451-2592,야키토리 이자카야,"[Sun, 화요일, 금요일, 토요일]
저녁 식사 17:00-22:00 L.O. 21:30",새해 휴일 (확인하십시오),"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"1F, 2-12-2 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 2 분 (140m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 10 분 (800m)
도쿄 도요코 라인 / 유텐지 스테이션 14 분 도보 (1.1km)",없음,"32 석
(12 명의 최대 광고 용량, 개인 용도로 사용할 수 없음 : 20 이상)","예
(8 석)",,"예
4 명
6 명",불가능합니다,https://mjstc.jp/,,"4,000 엔 ~ 4,999 엔 코스, 6,000 엔에서 6,999 엔 코스로 제공됩니다.","우리는 고기 요리와 재료의 생산 공간에 대해 특히, 주인 요리사와 매장 준비가 가능합니다.",와인과 위스키가 있습니다,사용 가능한 예약,"데이트 소녀 파티 전 ALL-YOU-CAN-DRINK 개인 실 엔터테인먼트 환영 파티 체리 꽃보기/사쿠라 전망 식당 연말 파티 새해 파티 마시는 와인 마시는 와인을 마시는 와인 디너 쌀 개인 방 날짜 세련된 개인 객실.
다른 사용 장면을 참조하십시오",활발한 상점,"축하 가능성
테이크 아웃 가능성",없음,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000876962/archive/3085627-64930841d8e28.jpg,https://www.instagram.com/sumibiyaki.maru/,https://www.facebook.com/marunakameguro/,"5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.",예 (무료),,,,
Onda Tokyo,온다 도쿄,https://retty.me/area/PRE13/ARE7/SUB703/100001407017/,03-5734-1987,이탈리아 요리 해산물과 해산물,"[월요일부터 금요일과 토요일]
점심 12:00-15:00 L.O. 13:00
저녁 식사 18:00-23:00 L.O. 20:00","매주 일요일
자세한 내용은 공식 웹 사이트를 확인하십시오.","점심 : ~ 8,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,,"Sakura House 1B, 1-8-12 Nakameguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보 6 분 (460m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 9 분 (670m)
JR Yamanote Line / Ebisu Station 10 분 도보 (750m)",없음,"12 석
(카운터에서 10 석, 2 명을위한 반 개인 공간)",예,"불가능합니다
(우리는 카운터 좌석과 반 개인 객실에서 흡연 금지에 협조 할 수있게되어 기쁘다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해",예,https://www.onda.tokyo/,"주차 : 근처의 동전 주차장을 사용하십시오.
*저녁 시간 만, 우리는 10%의 서비스 요금을 청구합니다.","5,000-5,999 엔 코스, 6,000-6,999 엔 코스, 7,000-7,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 수입 재료, 현지에서 생산 된 재료, 유기농 야채 및 소유자가 특히 그렇습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 싱글 OK, 엔터테인먼트, 성인 은신처, 작별 파티, 체리 꽃보기, 체리 꽃보기가있는 레스토랑, 새해 파티, 와인을 마시는 식당, 어린이와 함께 즐거움, 유기농 요리, 개인 저녁 식사
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
조용한 가게
차분한 분위기
단독 주택 레스토랑","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,예,,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001407017/archive/3111697-64c07868cce57.jpg,https://www.instagram.com/onda_tokyo,https://www.facebook.com/ondatokyo/,,예 (무료),,,,
焼鳥つかだ,야키토리,https://retty.me/area/PRE13/ARE7/SUB703/100001407479/,03-5724-4066,야키토리 이자카야,"[월요일부터 금요일까지]
 17:00-23:00 L.O. 22:00
[태양/토요일]
 11:30-23:00 L.O. 22:00",불규칙한 휴일,"점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Suica, Manaca, Toica, Pitapa, Icoca, Hayakaken, Nimoca, Sugoca, Nanaco, Rakuten Edy, Quicpay","A-One Building 1f, 1-20-5 Kamimeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakameguro 역에서 도보로 1 분 (49m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 7 분 거리 (560m)
JR Yamanote Line / Ebisu 역에서 도보로 13 분 (970m)",예,"51 석
(개인 실, 예약이 필요합니다. 일반적으로 4 명 이상의 사람들이 서비스를 사용할 수 있습니다.","예
(침몰 한 코타 츠에 대한 테이블과 카운터가 있습니다)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명",,"https://www.yakitori-tsukada.jp/
https://yoyaku.toreta.in/yakitoritsukada-nakameguro?stamp=retty",,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔",,와인이 있습니다,사용 가능한 예약,"점심, 날짜, 연회 및 음주 파티, 개인 실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 마시기, 와인, 세련된, 영어를 사용하는 것은 이용 가능
다른 사용 장면을 참조하십시오",골목을 향합니다,,평상복,"불가능합니다
초등학생들은 환영합니다",,예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001407479/archive/1396267-5e23ddcd8b2df.jpg,,https://www.facebook.com/yakitori tsukada-907071122795299/,,,,,,
