식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,개인 실,사적인,상점 웹 사이트,발언,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,IC 카드 지불,흡연,인스 타 그램,페이스 북,당신이 마실 수있는 모든 것,드레스 코드,X (트위터),추가 장비,온라인 예약,쇼핑 직무 정보,맥주 제작자,인근 시설
TRATTORIA Briccola,트라 토리아 브릭 콜라,https://retty.me/area/PRE13/ARE1/SUB104/100000010978/,03-5369-3530,이탈리아 요리 와인 바 노인 고기 훈제,"[하루 종일]
저녁 식사 17:00-25:00 L.O. 24:00
[태양, 토요일, 휴일]
점심 12:00-16:00 L.O. 15:00",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔",Amex,,"신주쿠 3-11-10 신주쿠, 신주쿠-쿠, ​​도쿄 B1F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 3- 체로에서 도보로 1 분 (73m)
JR Yamanote Line / Shinjuku Station에서 도보로 7 분 거리 (490m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 7 분 거리 (500m)",,64 석,"예
(8 개의 카운터 좌석)","예
6 명",,,,,,,,"점심, 데이트, 여자 밤, 개인 실, 약혼, 싱글, 엔터테인먼트, 크리스마스 저녁 식사, 와인, 세련된, 저녁 식사, 쌀, 고기, 비영리, 개인 객실 점심, 개인 방 날짜, 점심, 점심 소녀 밤
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33795453.jpg,,"불가능합니다
(완전히 금연 (흡연 공간은 상점 밖에서 흡연 공간이 가능))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
魚がし日本一 新宿西口店,일본 최고의 신주쿠 웨스트 출구 지점 낚시,https://retty.me/area/PRE13/ARE1/SUB112/100000044264/,03-5909-5067,"초밥, 해산물 그릇, 사시미","[월요일부터 금요일까지]
 11:00-23:00
[태양, 토요일, 휴일]
 11:00-22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Kawanishi Building 1f, 1-12-11 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (120m)
JR Yamanote Line / Shinjuku Station에서 도보 3 분 (190m)",,"15 석
(스탠드 스탠딩 좌석 전용)","예
(카운터 좌석 만)",없음,,https://www.susinippan.co.jp/,,,,,,"점심, 연회 및 음주 파티, 싱글 OK, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 세련된, 저녁, 쌀, 맛있는 레스토랑, 저렴한 레스토랑, 금연, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25775979.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
立ち寿司横丁 新宿西口,스탠딩 초밥 Yokocho Shinjuku West 출구,https://retty.me/area/PRE13/ARE1/SUB112/100001420707/,03-5909-8801,스시 이자카야,"[하루 종일]
 11:00-23:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1f, Omi Building, 1-18-13 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (33m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (210m)","없음
근처 (할인 없음) 사용 가능","38 석
(20 개 카운터 좌석, 18 스탠딩 카운터)",예,없음,불가능합니다,,,,우리는 생선 요리에 대해 특히 그렇습니다,"맥주, 사케, 쇼치",,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 주차 가능, 어린이와 함께 즐거운, 세련된, 영어를 구사 가능한 저녁 식사, 저녁 식사, 맛있는 레스토랑, 싼 레스토랑, 흡연, 세련된 점심
다른 사용 장면을 참조하십시오",,테이크 아웃 가능성,예,불가능합니다,불가능합니다,없음,,"영어
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35404208.jpg,"Suica, Nanaco, Rakuten Edy, Waon, Quicpay, Au 지갑","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,평상복,,,,,,
新宿御苑すし 西,신주쿠 gyoen 스시 웨스트,https://retty.me/area/PRE13/ARE1/SUB104/100001464260/,050-5462-4423,"초밥, 해산물, 사시미, 일본 음식","[Sun, 월요일, 화요일, 목요일, 금요일, 토요일]
점심 11:30-14:00
저녁 식사 18:00-23:00 L.O. 22:00",매주 일요일,"점심 : ~ 15,000 엔
저녁 식사 : ~ 30,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Toyo Building 1f, 1-12-15 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 2 분 (160m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 9 분 (680m)
도쿄 메트로 마루치 노 라인 / Yotsuya 3-Chome Station에서 도보 10 분 (780m)",예,7 석,예,없음,예,https://takumi-tatsuhiro.com/,,"8,000 엔 이상의 코스",우리는 생선 요리에 대해 특히 그렇습니다. 생산 구역에 특히 그렇습니다.,"맥주, 사케, 쇼치",사용 가능한 예약,"개인 저녁 식사 음료는 어린이와 함께 즐길 수 있습니다. 고기 고기 무료 Wi-Fi 애프터 파티 약혼 저녁 식사는 누구나 즐길 수 있습니다.
다른 사용 장면을 참조하십시오","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다",,예,,,예,03-5925-8225,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001464260/archive/213920-5fd00d56624d4.jpeg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
下高井戸 旭鮨総本店 新宿京王百貨店8階店,Shimotakaido Asahi Sushi Main Store Shinjuku Keio 백화점 8 층 가게,https://retty.me/area/PRE13/ARE1/SUB112/100000091627/,03-5321-5962,초밥,"[하루 종일]
 11:00-22:00 L.O. 21:30",매년 1 월 1 일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",예,,"Keio 백화점, 1-1-4 Nishi-Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shinjuku Station에서 도보로 1 분 (22m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 2 분 (150m)",,,예,"예
7 명 이상",,,,,,,,"점심, 개인 객실, 싱글 룸, 크리스마스 저녁 식사, 저녁 식사, 저녁, 저녁, 맛있는 레스토랑, 저렴한 레스토랑, 비 흡연, 개인 실, 점심, 세련된 점심, 세련된 개인 실, 개인 실, 엔터테인먼트
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35727427.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
鮨御苑,초밥 gyoen,https://retty.me/area/PRE13/ARE1/SUB105/100000091682/,03-3341-3211,초밥,"[월요일부터 금요일, 토요일, 휴일]
 17:30-24:00 L.O. 23:30","매주 일요일
오본이 닫혔습니다","점심:-
저녁 식사 : ~ 20,000 엔","Amex
식당
JCB",,"1-35-9 신주쿠, 신주쿠 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보로 3 분 거리 (240m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 5 분 (390m)
도쿄 메트로 후쿠토신 라인 / Higashi-Shinjuku 역에서 도보 11 분 (810m)",,,예,없음,,,,,,,,"저녁 식사, 금연",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/9208747.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
すしまみれ セントラルロード店,Sumire Central Road Store,https://retty.me/area/PRE13/ARE1/SUB101/100001169685/,03-3203-3030,초밥,"월 : 00 : 00-24 : 00
tue : 00 : 00-24 : 00
수요일 : 00 : 00-24 : 00
Thu : 00 : 00-24 : 00
금요일 : 00 : 00-24 : 00
토 : 00 : 00-24 : 00
일요일 : 00 : 00-24 : 00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,PayPay,"1F 레몬 빌딩, 1-15-5 Kabukicho, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Seibu Shinjuku Line / Seibu Shinjuku Station에서 도보 3 분 (170m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 3 분 거리 (200m)
JR Yamanote Line / Shinjuku Station에서 도보로 3 분 (200m)",없음,74 석,예,없음,,,,,,,,싱글 OK 크리스마스 저녁 식사 맛있는/저렴한 레스토랑 비 흡연 페이 페이 지불 가능,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/31300461.jpg,,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
日本再生酒場 新宿ホルモン横丁,일본은 바 신주쿠 호르몬 요코코를 활성화시켰다,https://retty.me/area/PRE13/ARE1/SUB104/100000000120/,050-5462-7839,Yakitori Izakaya Sitwer 구운 호르몬,"[월요일 ~ 목요일]
 17:00-23:00 L.O. 22:30
[금]
 17:00-24:00 L.O. 23:30
[태양, 토요일, 휴일]
 15:00-23:00 L.O. 22:30","불규칙한 휴일
가게가 닫히면 상점에 확인하십시오.","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",PayPay,"3-6-14 신주쿠, 신주쿠-쿠, ​​도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 2 분 (110m)
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보 8 분 (610m)
JR Yamanote Line / Shinjuku 역에서 도보로 8 분 (620m)","없음
근처 (할인 없음) 사용 가능",100 석,예,없음,불가능합니다,"[공식적인]
https://shinjyukuhorumonyokocyo.foodre.jp/
https://alwayssaisei.co.jp/motsuyaki-isii/",,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, 사케, 쇼치, 위스키, 칵테일",사용 가능한 예약,"쌀, 흡연 허용, 저녁 식사, 솔로, 음료수, 환영 파티, 세련되고 맛있고 저렴한 레스토랑, 급여 지불 지불, 온라인 예약 가능
다른 사용 장면을 참조하십시오","개방성이 있습니다
활발한 상점
골목을 향합니다",,,,불가능합니다,없음,03-3352-4829,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000000120/archive/3565205-67e47fa892996.jpg,,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,없음,,,,,,
土古里 代々木店,Tokori Yoyogi 상점,https://retty.me/area/PRE13/ARE1/SUB102/100001423080/,03-6300-4788,야키니쿠,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"제 2 차 시라쿠라 건물 1-32-1 요요기, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yoyogi Station에서 도보 2 분 (92m)
Odakyu Odawara Line / Minami Shinjuku Station에서 도보 6 분 (440m)
도쿄 메트로 후쿠토신 라인 / 키타 산도 역에서 도보로 7 분 거리 (490m)",예,84 석,,예,예,https://ramla-yakiniku.com/to-ko-ri-yoyogi/,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","우리는 야채 요리, 고기 요리, 식품 생산 공간 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 손님 엔터테인먼트 엔터테인먼트 엔터테인먼트 싱글 손님 엔터테인먼트 엔터테인먼트 엔터테인먼트 싱글 손님 엔터테인먼트 엔터테인먼트 엔터테인먼트 싱글 손님 엔터테인먼트 엔터테인먼트에 대한 즐거운 아이들과 함께 제공되는 영어 사용하기 개인 용도를 사용할 수있는 미트를 사용하지 않는 전산적이지 않은 전세기 전세 성인 데이트 무료 wifi 성인 날짜
다른 사용 장면을 참조하십시오",,"놀라운 응답 가능
축하 가능성
테이크 아웃 가능성",예,불가능합니다,,예,,"영어 중국어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001423080/archive/1552264-5e7c08ac26030.jpg,,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,"전적으로 마감하는 가격 : 1,000-1,999 엔, 4,000-4,999 엔 (4,000-4,999 엔), 5,000 엔 이상의 싱크 링크, 2 시간 동안 2 시간 동안 온전한 링크, 2 시간 반 동안 온전한 링크",평상복,,,,,,
礼華,레이카,https://retty.me/area/PRE13/ARE1/SUB105/100000008663/,03-5367-8355,중국 요리 이자카야 해산물 및 해산물 사천 사천 요리 상하이 요리 상하이 게 쌀 쌀 딤섬 딤섬 Xialongbao Gyoza,"[하루 종일]
점심 11 : 30-15 : 00 L.O. 14:00
저녁 식사 17 : 30-23 : 00 L.O. 21:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","하루 종일 개점
・ 새해 휴가","점심 : ~ 2,000 엔
저녁 식사 : ~ 15,000 엔",Amex,PayPay,"1f Ichichome Sankan Building, 1-3-12 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 기 얀마 스테이션에서 도보로 2 분 거리 (100m)
도쿄 메트로 마루치 노선 / 신주쿠 산체 홈 스테이션에서 도보로 9 분 (650m)
Jr Chuo / Sobu Line / Sendagaya 역에서 도보 10 분 (740m)",예,48 석,없음,"예
4 명
6 명
7 명 이상",예,https://www.rai-ka.com/,,,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","맥주, Shochu, Shaoxing Wine",사용 가능한 예약,"점심, 데이트, 모든 링크, 연회 및 음료 파티, 개인 객실, 개인 실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 벚꽃 시청과 체리 블러스트 시청, 크리스마스 파티, 새해 파티, 와인을 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",,축하 가능성,,,,예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/das/-/retty/img_ebisu/restaurant/100000008663/archive/1371526-5e14272966e0e.jpg,,"예
(흡연은 테라스의 개인 실에서만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",https://www.instagram.com//raika_shinjyuku//,https://www.facebook.com/china.raika/,,,,,,,,
韓花,한국 꽃,https://retty.me/area/PRE13/ARE1/SUB113/100000000018/,03-5363-3488,"한국 음식, 차가운 국수, 치즈 턱 카루비, 사시미, 핫팟","[월요일부터 금요일까지]
점심 11:30-15:00 L.O. 14:30
[하루 종일]
저녁 식사 17:00-23:30 L.O. 23:00
[태양, 토요일, 휴일]
점심 11:30-17:00 L.O. 16:30",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",Amex,,"신주쿠 청소년 빌딩 PAX 2F, 4-1-9 Shinjuku, Shinjuku-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 신주쿠 3- 체로에서 도보로 1 분 (73m)
Jr Yamanote Line / Shinjuku Station에서 도보 2 분 (130m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보 5 분 (340m)",,55 석,없음,"예
두 사람을 위해
4 명
6 명
7 명 이상",,http://totalwell.co.jp/hanfha/,,,,,,"점심, 데이트, 소녀의 밤, 그룹 날짜, 연회 및 음주 파티, 개인 실, 개인 방, 싱글 OK, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 세련된, 저녁 식사, 쌀, 비 흡연, 개인 객실 날짜, 점심 날짜
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33817576.jpg,,"불가능합니다
흡연실 사용 가능
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,,,,,,,,
新宿 チャイナドール,신주쿠 차이나 인형,https://retty.me/area/PRE13/ARE1/SUB106/100000745782/,03-6304-0404,중국 요리 딤섬 / 딤섬 Gyoza Dandan Noodles Xiaolongbao,"[월요일부터 금요일까지]
점심 11:00-15:30
저녁 식사 17 : 30-23 : 00 L.O. 22:30
[태양, 토요일, 휴일]
 11:00-21:30 L.O. 21:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex",PayPay,"Sumitomo Real Estate Shinjuku Grand Tower B1F, 8-17-3 Nishi-Shinjuku, Shinjuku-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 니시-신주쿠 역에서 도보 4 분 (300m)
Toei Oedo Line / Tochomae Station에서 도보로 7 분 거리 (510m)
Toei Oedo Line / Shinjuku West Exit Station에서 도보로 7 분 거리 (530m)","예
근처 (할인 없음) 사용 가능",70 석,없음,예,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 40 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 58 명",,,"3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리 및 식품 생산 공간에 특히 적합합니다.","맥주, 사케, 쇼치, 위스키, 칵테일",사용 가능한 예약,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 술 마시기, 와인, 주차, 어린이, 세련된, 개인 객실, 저녁 식사, 저녁 식사, 저녁 식사, 저녁 식사
다른 사용 장면을 참조하십시오",value_5_雰囲気,축하 가능성,예,불가능합니다,,,,"중국인
언어를 말할 수있는 직원이 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000745782/archive/919048-5cd54ce432a43.jpg,,"예
(점심 시간에만 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,2 시간 동안 당신이 다루는 것,없음,,,,,,
