식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,요리 기능과 전문 분야,사용 장면,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,외국어 지원,영상,사적인,인스 타 그램,당신이 마실 수있는 모든 것,예약,서비스,강의,대기,마시는 기능과 세부 사항에 대한 관심,드레스 코드,발언,페이스 북,X (트위터),추가 장비,IC 카드 지불,맥주 제작자,인근 시설,key_1_営業時間,key_1_予算,key_1_クレジットカード,key_1_QRコード決済,key_1_ICカード決済,key_1_住所,key_1_アクセス,key_1_駐車場,key_1_座席,key_1_カウンター席,key_1_喫煙,key_1_個室,key_1_貸切,key_1_Instagram,key_1_Facebook,key_1_X(Twitter),key_1_備考,key_1_コース,key_1_飲み放題,key_1_料理の特徴・こだわり,key_1_ドリンクの特徴、こだわり,key_1_予約,key_1_利用シーン,key_1_雰囲気,key_1_サービス,key_1_ドレスコード,key_1_お子様連れ入店,key_1_ペット,key_1_電源利用,key_1_Wi-Fi利用,key_1_image,key_2_TEL,key_2_ジャンル,key_2_営業時間,key_2_定休日,key_2_予算,key_2_クレジットカード,key_2_住所,key_2_アクセス,key_2_カウンター席,key_2_個室,key_2_利用シーン
STANDING BAR 晴,서있는 바 Sunny,https://retty.me/area/PRE13/ARE9/SUB901/100001282895/,03-6803-0636,서있는 바,"[하루 종일]
 11:30-22:30",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"6-3-11 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 거리 (55m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 (56m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (92m)",,"21 석
(1 층의 스탠드 링크, 2 층 및 3 층의 테이블)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,"점심 개인 방 싱글 룸 마시는 와인 저녁 식사 쌀 흡연 허용 개인 방 점심 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14337468.jpg,,,,,,,,,,,https://www.facebook.com/pare-%E6%9999%B4-%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%87%E 3%82%A3%E3%83%B3%E3%82%B0%E3%83%90%E3%83%BC%E3%83%91%E3%83%AC-182344505502089/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
根津カレー ラッキー,Nezu Curry Lucky,https://retty.me/area/PRE13/ARE9/SUB901/100001183181/,03-5842-1480,카레,"[tue-sat]
점심 : 11 : 30-15 : 00
저녁 식사 : 17 : 00-20 : 00
[낮]
11 : 30-16 : 00",매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"1-16-13 Nezu, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 네즈 스테이션에서 도보 1 분 (74m)
도쿄 메트로 남보쿠 라인 / 토다이마 역에서 도보로 9 분 (690m)
도쿄 메트로 치 요다 라인 / 9 분 동안 Sendagi Station (720m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"독신자 OK, 세련된 비 흡연",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34849757.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kotetsu wine&cheese,코테츠 와인 & 치즈,https://retty.me/area/PRE13/ARE9/SUB901/100001524082/,03-6802-8507,와인 바 바 피자,"[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 17:00-23:30 L.O. 23:00
팔리 자마자 끝납니다
영업 시간은 하루에 따라 다를 수 있습니다
마감 시간은 하루에 따라 다를 수 있습니다
월요일이 국경일이라면, 우리는 일요일에 문을 열고 월요일에 문을 닫습니다.","새해 휴일 (확인하십시오)
긴 휴가의 경우 마지막 날은 문을 닫습니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"서튼 플레이스 호텔 1f, 7-8-23 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보 2 분 (88m)
도쿄 메트로 긴자 라인 / 도코 (도쿄) 역에서 도보로 7 분 거리 (500m)
Keisei Main Line / Keisei Ueno 역에서 도보로 8 분 (640m)",없음,"13 석
(4 명을위한 2 개의 테이블 좌석 (최대 8 명이 연결할 수 있음))",예,"예
(모든 좌석은 훈제됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,"연회 및 음주 파티 작별 파티 환영 파티 연말 파티 새해 파티를 마시는 와인을 마시는 어린이와 함께 즐거운 와인을 이용할 수 있습니다.
다른 사용 장면을 참조하십시오",예,"불가능합니다
상점 밖에서 사용할 수 있습니다",예 (무료),예,,"영어
언어 지원 메뉴가 있습니다",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001524082/archive/1355739-5e01db382fc09.jpg,"예
예약 할 수있는 사람들의 수에 대한 최저 한도 8 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 13 명",,"ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간의 모든 곡선",사용 가능한 예약,"축하 가능성
소믈리에가 있습니다
테이크 아웃 가능성","2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","조용한 가게
차분한 분위기
단독 주택 레스토랑
숨는 곳
골목을 향합니다","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",없음,,,,,"Suica, Manaca, Toica, Icoca, Nanaco, Rakuten Edy, Waon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日高屋 稲荷町店,Hidakaya inaricho 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001221794/,03-3844-6625,라면 이자카야 야키토리,"[하루 종일]
 10:00-4:00 L.O. 3:30",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"5-1-3 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 긴자 라인 /이나 리코 (도쿄) 역에서 도보로 1 분 거리 (33m)
Tsukuba Express / Shin-Okachimachi Station에서 도보로 7 분 (500m)
JR Yamanote Line / Ueno Station 7 분 도보 (520m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://hidakaya.hiday.co.jp/index.html,,"점심, 연회 및 음주 파티, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 새해 파티를 즐기고, 첫 열차, 저녁 식사, 쌀, 비 흡연, 늦은 밤에 개장 할 때까지 열려 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36820509.jpg,,,,,,,,,,,https://www.facebook.com/pages/hd hidaka/214452025242271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
湯島春近,유시마 봄 근처,https://retty.me/area/PRE13/ARE9/SUB901/100001278477/,090-7733-3408,소바 (소바) 우도이자 카야,"[tue-fri, sat, holiday]
저녁 식사 17:00-23:00 L.O. 22:30
영업 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.
자세한 내용은 공식 FB를 확인하십시오.
그 달에는 개인 용도로만 개방 될 수 있습니다.","매주 일요일
우리는 새해 공휴일 동안 휴일없이 문을 열 계획입니다.","점심 : 비즈니스 시간
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex",PayPay,"Yushima Morindo Building 1f, 3-47-10 Yushima, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보로 1 분 (7m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 5 분 (360m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 5 분 (360m)",없음,12 석,"예
(이 모양의 카운터 시트가 들어가고 오른쪽에서 1, 2, 12 좌석을 찾을 수 있습니다.)","불가능합니다
(외부 (1 석) 발코니 좌석에서 흡연이 허용됩니다. 외부에서 담배를 피우면 식당에 들어가기 전에 흡연 후 3 번의 심호흡을하십시오 (LOL).
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.haruchika.tokyo/,"우리는 야채 요리, 고기 요리 및 생선 요리에 특히 적합합니다.","연회 및 음주 파티 솔로 손님을위한 OK 작별 파티를 환영 파티 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 와인을 마시는 와인을 마시고 테라스 저녁 식사가있는 세련된 개인 객실 맛과 저렴한 레스토랑
다른 사용 장면을 참조하십시오",예,"불가능합니다
상점 밖에서 사용할 수 있습니다",예 (무료),없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001278477/archive/2070201-5faa02c306504.jpeg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 9 명
제한된 수의 사람들이 임대 할 수있는 (좌석) : 12 명",,"5,000 엔 이상을 사용할 수 있습니다",사용 가능한 예약,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","골목을 향합니다
테라스가 있습니다","맥주, 사케, 쇼치, 와인, 위스키",없음,"Mercari Pay,
PayPay도 가능합니다.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥貴族 御徒町店,Torikigoku Okachimachi 매장,https://retty.me/area/PRE13/ARE9/SUB901/100000936770/,03-5812-4033,Yakitori Izakaya Tonkotsu Ramen,"[하루 종일]
 18:00-28:00 L.O. 27:30","매년 1 월 1 일, 매년 12 월 31 일","점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"5-19-6-2f Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 나카 오카카시 마치 역에서 도보 2 분 (110m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (130m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)",,"77 석
(13 개의 카운터 좌석/64 테이블 시트)","예
(13 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://torikizoku.co.jp/,,"첫 번째 열차 저녁 식사, 비 흡연, 심야, 급여 지불 지불이 허용 될 때까지 열립니다.",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5558269.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
カフェ・ベローチェ 上野三丁目店,Cafe Veloce Ueno 3-Chome,https://retty.me/area/PRE13/ARE9/SUB901/100001162096/,03-5817-8231,카페,"[하루 종일]
 7:00-21:00",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,PayPay,"G-Square Ueno, 3-17-7 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
JR Yamanote Line / Okachimachi Station 4 분 도보 (250m)",,,예,"연기 분리
흡연실 사용 가능
(모든 좌석은 금연 및 흡연 부스 (개인 실) 이용 가능)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://c-united.co.jp/store/detail/000334/,,"점심, 연회 및 음료, 작별 파티, 환영 파티, 연말 파티, 새해 파티, 브런치, 아침 식사, 저녁 식사, 흡연 허용, 무료 와이파이, 파워 카페, 나이트 카페, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,예 (무료),예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/35472596.jpg,,,,,배송 가능,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒席 太郎,타로 사케 좌석,https://retty.me/area/PRE13/ARE9/SUB901/100000096508/,03-3837-9007,이자카야 일본 음식,"[tue-fri-sat]
 17:30-22:00",매주 월요일마다 일요일 휴가,"점심:-
저녁 식사 : ~ 4,000 엔",불가능합니다,,"3-32-3 Yushima, Bunkyo-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / 유시마 역에서 도보 2 분 (120m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 6 분 (450m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 6 분 (450m)",,24 석,예,"예
완전히 흡연이 허용됩니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,한 사람 OK 크리스마스 저녁 식사 저녁 식사 흡연 허용,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2969577.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
龍馬 上野御徒町店,Ryoma Ueno Okachimachi 매장,https://retty.me/area/PRE13/ARE9/SUB901/100001408093/,050-3164-1749,Izakaya Gyoza Bar Yakitori 중국 요리 식당,"[월요일부터 금요일, 토요일, 휴일]
 11:00-26:30
[낮]
 11:00-24:00",명확하지 않습니다,"점심:-
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"2f, 6-4-14 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 거리 (67m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 1 분 (68m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (94m)",예,62 석,없음,,"예
4 명
6 명
7 명 이상",https://ryomagyoza.gorp.jp/,"우리는 야채 요리, 매우 매운 메뉴 품목, 매장 내에서 준비된 것입니다.","점심으로 점심으로 먹는 린 링크 연회/음료 파티 개인 실
다른 사용 장면을 참조하십시오",예,,예 (무료),예,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/21170084.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
예약 할 수있는 제한된 수의 사람들 : 60 명",,"전액 만약 가격 : 2,000-2,999 엔, 전산 점수 가격 : 3,000-4,999 엔, 만약 가격 : 5,000 엔 이상, 4,000-4,999 엔, All-You-Can-Drink Cours는 2 시간 동안 All-You-Can-Drink를 포함하며 3 시간 이상 3 시간 이상",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","3,000 엔 ~ 3,999 엔 코스, 4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스",활발한 상점,"맥주, 사케, 쇼치, 와인, 위스키, awamori, shaoxing 와인이 있습니다.",,,,,"가라오케 사용 가능, TV 및 모니터 사용 가능",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒場ハコザキ 上野店,Sakaba Hakozaki Ueno 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001595756/,03-5812-4484,Izakaya Yakitori Motsu 요리,"[하루 종일]
아침 7:00-10:00 L.O. 9:30
점심 11 : 30-14 : 00 L.O. 14:00
[월요일 ~ 금요일, 토요일, 휴일 전 및 휴일 전]
저녁 식사 16 : 00-23 : 30 L.O. 23:00
[낮]
저녁 식사 16:00-21:00 L.O. 20:00
영업 시간은 하루에 따라 다를 수 있습니다",시설과 동일합니다,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"2-18-7 Higashiueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Ueno 역에서 도보로 1 분 (57m)
도쿄 메트로 진 자 라인 / 우에노 히로코지 스테이션 4 분 (290m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 4 분 거리 (290m)",없음,55 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.hotpepper.jp/strj001278849/,우리는 고기 요리를 전문으로하고 매장 내에서 준비합니다,"아이들과 함께 점심 즐기기 아침 식사 저녁 식사 저녁 식사 저녁 식사 비 흡연 지불 캐주얼
다른 사용 장면을 참조하십시오",예,불가능합니다,불가능합니다,없음,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001595756/archive/2489940-61558cdd032f.jpg,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
예약 할 수있는 제한된 수의 사람들 : 60 명",,,저녁 식사 시간에만 사용할 수 있습니다,"테이크 아웃 가능성
배송 가능",,"차분한 분위기
숨는 곳
호텔에 있습니다","맥주, 사케, 쇼치, 위스키",없음,,,,,"Suica, Rakuten Edy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
個室居酒屋 北の台所 上野店,개인 실 IZAKAYA KITANA 주방 UENO 지점,https://retty.me/area/PRE13/ARE9/SUB901/100001530164/,080-7441-6789,Izakaya Yakitori 핫팟 해산물 및 해산물,"[하루 종일]
 12:00-24:00",하루 종일 개점,"점심 : ~ 3,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
식당
JCB",,"Ueno Plaza U 건물 4F-A, 4-8-6 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keisei Main Line / Keisei Ueno 역에서 도보 2 분 (86m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 2 분 (140m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 2 분 (140m)","예
근처 (할인 없음) 사용 가능",150 석,없음,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상",,"우리는 야채 요리, 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 적합합니다.","점심 모든 넌 먹는 린 싱글 링크 연회/음료 파티 개인 방 환영 파티 마시기 와인 주차장 마시기 와인 주차 아동과 함께 즐기십시오
다른 사용 장면을 참조하십시오","예
유아, 유치원 어린이, 초등학생을 환영합니다",,,예,,영어 중국어,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001530164/archive/1449573-5e4277686e1f3.jpg,예,,"ALL-YOU-CAN-DRINK 가격 1,000-1,999 엔, 전산 점수 가격 2,000-2,999 엔, 전 ALL-YOU-CAN-DRINK 가격 3,000-4,999 엔, 2 시간, 2 시간 동안 전액을 다듬어 3 시간 동안 전액 도입",사용 가능한 예약,"놀라운 응답 가능
축하 가능성","2,999 엔, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스가 있습니다.","조용한 가게
활발한 상점
차분한 분위기
나이트 뷰를 볼 수 있습니다
숨는 곳","맥주, 사케, 쇼치, 와인, 위스키",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
おとんば 御徒町店,오톤바 오카 카시마치 상점,https://retty.me/area/PRE13/ARE9/SUB901/100001680579/,03-5817-8677,이자카야,,,"점심:-
저녁 식사 : ~ 3,000 엔",,,"6-3-2 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보 1 분 (18m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 1 분 (19m)
JR Yamanote Line / Okachimachi Station 1 분 도보 (48m)",,,,,,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33659118.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
酒肴 茜,술과 간식 Akane,https://retty.me/area/PRE13/ARE9/SUB901/100001558575/,03-3832-8310,이자카야,,,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",,,"Taito 4-14-5, Taito, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Nakaokachimachi Station에서 도보로 3 분 거리 (230m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 4 분 거리 (310m)
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 4 분 거리 (310m)",,,,,,,,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/25375315.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STANDING BAR 晴,서있는 바 Sunny,https://retty.me/area/PRE13/ARE9/SUB901/100001282895/,03-6803-0636,서있는 바,"[하루 종일]
 11:30-22:30",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"6-3-11 Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 진 자 라인 / Ueno Hirokoji Station에서 도보로 1 분 거리 (55m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보로 1 분 (56m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (92m)",,"21 석
(1 층의 스탠드 링크, 2 층 및 3 층의 테이블)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,,"점심 개인 방 싱글 룸 마시는 와인 저녁 식사 쌀 흡연 허용 개인 방 점심 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/14337468.jpg,,,,,,,,,,,https://www.facebook.com/pare-%E6%9999%B4-%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%87%E 3%82%A3%E3%83%B3%E3%82%B0%E3%83%90%E3%83%BC%E3%83%91%E3%83%AC-182344505502089/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鳥貴族 御徒町店,Torikigoku Okachimachi 매장,https://retty.me/area/PRE13/ARE9/SUB901/100000936770/,03-5812-4033,Yakitori Izakaya Tonkotsu Ramen,"[하루 종일]
 18:00-28:00 L.O. 27:30","매년 1 월 1 일, 매년 12 월 31 일","점심:-
저녁 식사 : ~ 3,000 엔",Amex,PayPay,"5-19-6-2f Ueno, Taito-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / 나카 오카카시 마치 역에서 도보 2 분 (110m)
JR Yamanote Line / Okachimachi Station 2 분 도보 (130m)
Toei Oedo Line / Ueno Okachimachi Station에서 도보 3 분 (170m)",,"77 석
(13 개의 카운터 좌석/64 테이블 시트)","예
(13 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://torikizoku.co.jp/,,"첫 번째 열차 저녁 식사, 비 흡연, 심야, 급여 지불 지불이 허용 될 때까지 열립니다.",,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/5558269.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
