식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,주소,입장,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,사용 장면,영상,QR 코드 결제,주차,사적인,강의,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,대기,서비스,아이들이 들어 오세요,맥주 제작자,추가 장비,페이스 북,당신이 마실 수있는 모든 것,애완 동물,Wi-Fi 사용,외국어 지원,IC 카드 지불,인스 타 그램,드레스 코드,전화 번호,발언,전원 공급 장치 사용,X (트위터),지역
神田バンバール da Cicciolino,Kanda Bambal da Cicciolino,https://retty.me/area/PRE13/ARE11/SUB1101/100001278464/,03-3251-2822,바 이탈리아 요리 파스타 과자,"[월요일부터 금요일, 토요일, 휴일]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:30",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",불가능합니다,"1f, Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (140m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 5 분 (400m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 5 분 (400m)",,예,"예
완전히 흡연이 허용됩니다
(점심 시간 동안 흡연 없음)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"아이들과 함께 즐길 수있는 점심 개인 객실 마시는 와인을 즐길 수 있습니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/17662343.jpg,,예,예,,,,사용 가능한 예약,테라스가 있습니다,"놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
테이크 아웃 가능성",예,,,https://www.facebook.com/kanda bambal-cicciolino-1579520679026146/,,,,"영어
언어 지원 메뉴가 있습니다",,,,,,,,칸다
FURON SAIKAN-福龍菜館-,Furon Saikan -Fukuryunakan -,https://retty.me/area/PRE13/ARE11/SUB1101/100001727334/,03-3527-1423,이자카야 중국 요리,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00 L.O. 14:30
저녁 식사 17:00-22:00 L.O. 21:30","매주 일요일과 공휴일
우리는 토요일에 불규칙적으로 문을 닫습니다.","저녁 식사 : ~ 4,000 엔","비자
마스터 카드","1-18-31 Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 도보 (120m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (280m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (280m)",36 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"저녁 식사, 연회 및 음주 파티, 작별 파티, 환영 파티, 여자 파티, 개인 객실, 저녁 식사, 엔터테인먼트, 급여 지불 지불, 점심, 새해 파티, 캐주얼, 데이트, 마시기, 와인, 마시는 와인, 개인 공간과 함께 즐기십시오.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001727334/archive/3309383-664320fc2c598.png,PayPay,없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 20 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명
예약 할 수있는 사람의 수에 대한 최저 한도 (스탠드 스탠드 식사) 20 명
최대 40 명이 임대 할 수 있습니다 (스탠드 스탠딩 식사)","3,000 ~ 3,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 8,000 엔 이상의 코스가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 주인 chef 및 매장 준비에 특히 도움이됩니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일, 샤 옥싱 와인",사용 가능한 예약,"조용한 가게
차분한 분위기
골목을 향합니다",,예,,,,2 시간 동안 당신이 다루는 것,,없음,,"Suica, Nanaco",https://www.instagram.com/furon_saikan,,,,,,칸다
北京料理 東園,베이징 요리 동심,https://retty.me/area/PRE13/ARE11/SUB1101/100000498573/,03-3254-4598,중국 음식,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:00-15:00 L.O. 15:00
저녁 식사 17:00-22:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 6,000 엔",Amex,"Higashien Building의 1 층 및 2 층, 2-9-5 Kajicho, Chiyoda-Ku, Tokyo
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 (140m)
Toei Shinjuku Line / Iwamotocho 역에서 도보로 5 분 (360m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 7 분 거리 (490m)",80 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,"점심, 개인 객실, 약혼 저녁 식사 파티, 싱글 OK, 엔터테인먼트, 크리스마스 저녁 식사, 저녁 식사, 저녁, 쌀, 비 흡연, 개인 실, 세련된 점심, 세련된 개인 실, 개인 객실, 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36217496.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
隠れ房ねぎし,숨겨진 녹색 양파,https://retty.me/area/PRE13/ARE11/SUB1101/100001205072/,03-3526-2786,카포/작은 식당,"[월요일부터 금요일과 토요일]
 11:30-14:00
[월요일부터 금요일까지]
 17:00-23:30
[토양]
 17:00-22:30",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,"야코 빌딩 1f, 3-7 칸다 카지치, 키 요다 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 2 분 거리 (130m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보로 4 분 거리 (320m)",,예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,"점심, 연회 및 음주 파티, 개인 객실, 단일 방, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 술 마시기, 세련된, 저녁 식사, 쌀, 흡연 허용, 개인 객실, 스타일리쉬 한 점심, 세련된 개인 객실
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/11358563.jpg,,,,,,,,,,,,,,,,,,,,,,,,,칸다
PRONTO 神田グランドセントラルホテル店,Pronto Kanda Grand Central Hotel 매장,https://retty.me/area/PRE13/ARE11/SUB1101/100001441781/,03-6260-8164,카페,"[월요일부터 금요일까지]
 6:30-23:00
[태양, 토요일, 휴일]
 6:30-18:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",예,"2-2 Kanda Tsukacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 스테이션 4 분 도보 (280m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 4 분 거리 (310m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보로 4 분 거리 (320m)",80 석,,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,https://shop.pronto.co.jp/,"점심 개인 룸 브런치 아침 식사 이용 가능 저녁 식사 쌀 흡연 허용 전용 방 점심 야간 카페 지불금 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34794035.jpg,PayPay,,,,,,,,,,,,,,,,,,,,,,,,칸다
大衆中華酒場 ふくろう 神田店,인기있는 중국 바 올빼미 칸다 지점,https://retty.me/area/PRE13/ARE11/SUB1101/100001593161/,03-6260-9250,이자카야 중국 음식 gyoza,"[월요일부터 금요일과 토요일]
 11:30-24:00","매주 일요일
새해 휴일 (확인하십시오)
월요일이 국경일이라면, 우리는 일요일에 문을 열고 월요일에 문을 닫습니다.","점심 : ~ 1,000 엔
저녁 식사 : ~ 3,000 엔","비자
마스터 카드
Amex
식당
JCB","사회 빌딩 2F, 3-19-10 Uchikanda, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Kanda (도쿄) 역 1 분 도보 (45m)
Jr Sobu Main Line / Shin-Nihonbashi Station에서 도보 6 분 (450m)
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 6 분 (470m)",57 석,없음,,"예
두 사람을 위해",,"점심 만세 연회/음주 파티 솔로 작별 파티에 이용할 수있는 개인 방을 환영 파티 연말 파티 새해 파티를 마실 수 있습니다. 와인을 마실 수 있습니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001593161/archive/2634347-621c74f548703.jpg,PayPay,없음,예,,고기 요리 전문,"맥주, 사케, 쇼치, 와인, 칵테일",사용 가능한 예약,활발한 상점,"놀라운 응답 가능
축하 가능성",,,,,"4,000 엔에서 4,999 엔까지의 싱글 링크와 5,000 엔 이상의 링크를 포함하는 코스가 포함 된 코스가 있습니다.",,없음,,,,,,,,,칸다
ちょいす,조금,https://retty.me/area/PRE13/ARE11/SUB1101/100001050419/,050-5304-1121,이자카야 해산물과 해산물 요리 일본 음식,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 17:00-23:30 L.O. 22:30",매주 토요일마다 일요일 휴가,"점심 : 비즈니스 시간
저녁 식사 : ~ 4,000 엔",예,"B1, 1-4 Y101 건물, Kanda Sudacho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / Awajicho 역에서 도보 1 분 (72m)
Toei Shinjuku Line / Ogawamachi (도쿄) 역에서 도보로 1 분 거리 (79m)
도쿄 메트로 치 요다 라인 / 신-차노미즈 스테이션에서 도보 6 분 (420m)","35 석
(35 석 (카운터, 테이블, 반 개인 객실 포함)))))",예,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"[공식적인]
https://choice.foodre.jp/","저녁 식사, 연회 및 음주 파티, 술, 고기, 연말 파티, 새해 파티, 캐주얼, 세련된, 새해 파티, 신입생 파티, 성인 연말 파티, 빠른 새해 파티, 신속 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001050419/archive/186501-58ee10dcbfeb9.jpg,,,,,,,,,,,,,,,,,,,,,03-3256-3993,,,,칸다
春秋ツギハギ 日比谷,봄과 가을 Hibiya,https://retty.me/area/PRE13/ARE2/SUB202/100000010835/,050-5304-5857,일본 음식 테이크 아웃,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 13:30
저녁 식사 17:00-22:30 L.O. 21:30
[태양, 토요일, 휴일]
점심 11:30-15:00 L.O. 13:30
저녁 식사 17:00-22:00 L.O. 21:00","하루 종일 개점
∎ 새해 휴가 중 닫기 ・ 첫 번째 일요일에 저녁 식사를 위해 문을 닫았습니다.","점심 : ~ 4,000 엔
저녁 식사 : ~ 15,000 엔","비자
마스터 카드
Amex
식당
JCB","Nissei Building B1F, 1-1-1 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (33m)
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (36m)","275 석
(테이블 좌석, 소파 좌석, 스시 카운터 시트, 완전히 개인 실, 반 개인 객실, 50 명 이상을위한 대형 개인 객실)","예
(스시 카운터)","예
흡연실 사용 가능
(흡연은 점심 시간 동안 금지됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명
6 명
7 명 이상","https://shunjutsugihagi-hibiya.foodre.jp/
http://www.shunju.com/ja/restaurants/tsugihagi/","싱글은 저녁, 점심, 점심, 데이트, 개인 실, 저녁 식사, 고기, 엔터테인먼트, 와인, 페이 페이 포인트, 연말 파티, 새해 파티에 적합합니다.
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000010835/archive/2465389-612cbc9df0ec5.jpg,,예,예,,,"맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"차분한 분위기
숨는 곳",,"불가능합니다
유아 및 어린이, 유치원 어린이, 초등학생 및 어린이 메뉴 이용 가능",,프로젝터와 휴대품 룸이 있습니다,,,불가능합니다,예,,,,,03-3595-0511,,,,유라쿠초
やさいの王様 日比谷シャンテ店,쉬운 Hibiya Chante 상점의 왕,https://retty.me/area/PRE13/ARE2/SUB202/100000039293/,050-5461-4357,야채 요리,"[하루 종일]
 11:00-22:00 L.O. 21:00
바이러스의 확산이 증가함에 따라 업무 시간은 3 월 22 일부터 오후 11시 ~ 10시 00 시가되며 알코올은 재개됩니다!","불규칙한 휴일
・ 시설과 동일합니다","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔",예,"Toho Hibiya 건물 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄 (Hibiya Chante) 본관 B2F
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 2 분 (110m)
JR Yamanote Line / Yurakucho 역에서 도보로 6 분 (450m)
도쿄 메트로 진 자 라인 / Ginza 역에서 도보 6 분 (460m)",58 석,없음,"불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://yasai-no-ohsama.com/,"점심, 여자 밤, 솔로 저녁 식사, 세련된 식사, 점심 날짜, 세련된 점심, 탁월한 점심, 새해 파티, 환영 파티, 비 연소, 급여 지불 지불, 점심 시간 음주, 크리스마스 2024, 성인 연말 파티, 스타일리쉬
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000039293/archive/1891137-5f7543a687ab0.png,PayPay,,,,,,,,,,,,,,,,,,,,03-5501-9881,,,,유라쿠초
麺屋 ひょっとこ 交通会館店,Menya Hyottoko Transportation Hall Store,https://retty.me/area/PRE13/ARE2/SUB202/100000018958/,03-3211-6002,라면 쌀 음식 스톨 소금라면,"[월요일부터 금요일까지]
 11:00-20:00
[토양]
 11:00-19:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (41m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (47m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (150m)",7 석,"예
(카운터 좌석 만 있습니다.)","불가능합니다
(도쿄 교통 홀에는 상점 건너편에 흡연실이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.menyahyottoko.com/,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34318273.jpg,,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
添好運 日比谷店,소고 긴 Hibiya 상점,https://retty.me/area/PRE13/ARE2/SUB202/100001409745/,03-6550-8818,딤섬 중국 요리 테이크 아웃,"[하루 종일]
 11:00-23:00 L.O. 22:00","하루 종일 개점
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",예,"1f Hibiya Chante Annex 1-2-2 Yurakucho, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (53m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (53m)
도쿄 메트로 긴자 라인 / Ginza Station에서 도보로 3 분 거리 (180m)",84 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://timhowan.jp/,"점심, 여자 밤, 혼자, 크리스마스 저녁 식사, 세련된, 저녁, 비 흡연, 점심, 여자 밤, 세련된 점심, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/30073191.jpg,PayPay,,,,,,,,,,,,https://www.facebook.com/timhowanjapan/,,,,,,,,,,,,유라쿠초
キッチン大正軒,부엌 도식,https://retty.me/area/PRE13/ARE2/SUB202/100000037117/,03-3201-0147,"서양식 음식, 카레, 돼지 고기 커틀, 햄버거","[월요일부터 금요일까지]
 11:00-14:30
[결혼과 금요일]
 17:30-20:00
[토양]
 11:00-15:00",매주 일요일과 공휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (44m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (51m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (110m)","13 석
(카운터의 9 석, 4 명을위한 1 개의 테이블)",예,"연기 분리
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 세련된, 저녁 식사, 쌀, 흡연, 세련된, 점심",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34168628.jpg,,,,,,,,,,,,,https://www.facebook.com/pages/kitchen taishoken/168607706494784/,,,,,,https://www.instagram.com/taisyoken/,,,,,https://x.com/taisyoken4129,유라쿠초
あけぼの,아케 보노,https://retty.me/area/PRE13/ARE2/SUB202/100000061667/,03-3211-3934,"Tonkatsu, Rice Bowl, Katsudon, Tempura","[월요일부터 금요일, 토요일, 휴일]
점심 11:00-15:00
[월요일, 화요일, 목요일, 금요일 및 휴일]
저녁 식사 17:00-20:00","매주 일요일
점심은 수요일과 토요일에만 문을 엽니 다","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,"도쿄 교통 홀 B1F, 2-10-1 유라 커코, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 히비야 라인 / Hibiya 역에서 도보 1 분 (44m)
JR Yamanote Line / Yurakucho 역에서 도보로 1 분 (48m)
도쿄 메트로 유라 커코 라인 / Ginza 1-Chome Station에서 도보 2 분 (120m)","12 석
(카운터 만)","예
(카운터 만)","불가능합니다
(완전히 금연)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"점심, 솔로, 세련된, 저녁 식사, 비 흡연, 세련된, 점심, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티
다른 사용 장면을 참조하십시오",https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/36921366.jpg,,,,,,,,,,,,,,,,,,,,,,,,,유라쿠초
