식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,상점 웹 사이트,페이스 북,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,사용 장면,대기,서비스,Wi-Fi 사용,전화 번호,영상,IC 카드 지불,사적인,발언,예약,아이들이 들어 오세요,전원 공급 장치 사용,인스 타 그램,X (트위터),외국어 지원,드레스 코드,애완 동물,추가 장비
テオドーラ,테오도라,https://retty.me/area/PRE13/ARE13/SUB704/100000032356/,050-5461-6001,프랑스 요리,"[월요일부터 금요일까지]
점심 11:30-14:00 L.O. 13:30
[하루 종일]
저녁 18 : 00-22 : 00
[태양, 토요일, 휴일]
점심 12:00-14:00 L.O. 13:30
예약이 없으면 상점이 문을 닫을 수 있습니다. 대형 고객을 알고있어주세요.",불규칙한 휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"꽃 광장 건물 3F, 2-10-32 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 3 분 (240m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 스테이션 13 분 도보 (1.0km)
도쿄 메 구로 라인 / 푸 도마 스테이션 13 분 도보 (1.0km)",,"24 석
(6 개의 테라스 좌석을 결합하면 30 석이 있지만, 나타날 수있는 시간은 제한되어 있으므로 공식적으로 24 석이 있습니다.",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"날짜, 소녀의 밤, 성인의 은신처, 세련된 점심, 저녁, 저녁 식사, 세련된 점심, 생일, 와인 음주, 테라스, 크리스마스 저녁 식사, 점심 날짜, 지불금 지불, 급여 판매 포인트
다른 사용 장면을 참조하십시오",,,,03-5791-2160,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000032356/archive/1854641-5f5ef3bf720c6.jpg,,,,,,,,,,,,
ふく割烹 花家,후쿠 카포 한나 야,https://retty.me/area/PRE13/ARE13/SUB704/100000105673/,03-3492-8780,Fugu 요리 일본 요리 카포/작은 레스토랑,"[하루 종일]
저녁 식사 17:00-22:00 L.O. 22:00","불규칙한 휴일
개막 시간 : 불규칙
약 11 시경
약 17:00","점심 : 비즈니스 시간
저녁 식사 : ~ 20,000 엔","Amex
식당
JCB",,"1-16-7 메 구로, 메 구로 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 9 분 (710m)
JR Yamanote Line / Ebisu Station 14 분 도보 (1.1km)
Tokyu Meguro Line / Fudomae 역에서 도보 16 분 (1.3km)",없음,"28 석
(타치 바 20)","예
(카운터 8)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,"8,000 엔 이상의 코스",,,,개인 룸 저녁 식사 라이스 비 흡연,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/2382645.jpg,,,,,,,,,,,,
東京倶楽部 目黒店,도쿄 클럽 메 구로 매장,https://retty.me/area/PRE13/ARE13/SUB704/100000920756/,03-6417-0166,술집,"[하루 종일]
 18:30-23:00",하루 종일 개점,"점심 : ~ 5,000 엔
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"1F Nakagin Meguro Station 아파트 건물 2-18-20 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (270m)
도쿄 메 구로 라인 / 푸 도마 스테이션 도보 15 분 (1.2km)
도쿄 메트로 Namboku 라인 / 시로 카네이이 역 15 분 (1.2km)",,"62 석
(10 개의 카운터 좌석, 42 개의 테이블 좌석, 10 개의 보충 좌석)","예
(10 석)",,없음,https://tokyo-club.com/,,,,,,"연회 및 음주 파티 솔로 작별 파티를위한 괜찮은 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인 저녁 식사 쌀 지불금 지불 이용 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/1681640.jpg,,,,,,,,,,,,
F.PARADE Life,F.Parade Life,https://retty.me/area/PRE13/ARE13/SUB704/100001239505/,070-1230-9396,굴 바이자카야,"[월]
 17:00-23:30 L.O. 22:30
[tue-fri]
 17:00-23:00 L.O. 22:30
[tue-fri-sat]
 23:00-4:00 L.O. 2:30
[토양]
 15:00-23:00 L.O. 22:00
[낮]
 15:00-23:30 L.O. 22:30
[축하해요]
 15:00-23:00 L.O. 22:30","불규칙한 휴일
새해 휴일 (확인하십시오)
다른 불규칙한 휴일","점심:-
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
식당
JCB",PayPay,"Torek Building 4F, 1-4-8 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (150m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
도쿄 메트로 Namboku 라인 / 시로 카네이이 스테이션 17 분 도보 (1.3km)",없음,"38 석
((2 카운터 x 4 좌석, 4 개의 테이블 x 4 좌석, 2 명 x 1 좌석, 12 개의 개인 실)))))","예
(창 근처에서 연속으로 2 명이 x 3 좌석)","연기 분리
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
(재산은 상점 외부의 계단에 설치되어 있습니다. 모든 개인 실은 전자 담배와 가열 된 담배로 제한됩니다.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",http://www.fparade-life.com/.,https://www.facebook.com/fparadelife/,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000-4,999 엔, 3,000-3,999 엔, 전산 된 링크 코스에는 4,000-4,999 엔, 2 시간 동안 온 All-You-Can-Drink에 대한 all-you-can-drink가 포함됩니다.","우리는 고기 요리, 생선 요리, 식품 생산 공간 및 유기농 야채에 특히 중요합니다.","맥주, 쇼치, 와인, 위스키, 칵테일","all-you-can eat 여자 파티 모든 당신이 다진 링크 연회 및 음주 파티 개인 객실 솔로 작별 파티에 이용할 수있는 개인 객실 파티 연말 파티 가라오케 시설과 와인을 마시는 첫 번째 기차 저녁 식사 저녁 식사까지 유기농 요리를 열 수 있습니다.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","놀라운 응답 가능
축하 가능성",없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001239505/archive/367432-5A69BCC1177FD.png,Quicpay,예,"400 엔의 요금
개인 실 사용 수수료 : 시간당 3,000 엔",사용 가능한 예약,,,https://www.instagram.com/fparadelife.meguro/,,,없음,,"가라오케 사용 가능, TV 및 모니터 사용 가능"
イタリアン&ワインバー CONA 不動前店,이탈리아 및 와인 바 Cona Fudomae 지점,https://retty.me/area/PRE13/ARE13/SUB704/100001266487/,03-5719-0318,와인 바 이탈리아 피자,"[하루 종일]
 17:00-23:30 L.O. 23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",,,"5-10-7 Nishigotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보 2 분 (82m)
JR Yamanote Line / Meguro 역에서 도보 11 분 (830m)
JR Yamanote Line / Gotanda Station 12 분 도보 (960m)",,45 석,예,,없음,,https://www.facebook.com/authentic Oven -Baked One Coin -500 엔 피자 -Cona -Fudomae Store -1705613616351727,,,,,저녁 식사,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/8386974.jpg,,,,,,,,,,,,
サエキ飯店,Saeki 레스토랑,https://retty.me/area/PRE13/ARE13/SUB704/100001475561/,03-6303-4735,광동 요리,"[하루 종일]
 18:00-24:00","불규칙한 휴일
・ 공휴일의 공식 Facebook 페이지를 확인하십시오","점심:-
저녁 식사 : ~ 20,000 엔",,,"2-10-30 Mita, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 9 분 (660m)
JR Yamanote Line / Ebisu Station 11 분 도보 (840m)
도쿄 도요코 라인 / 다이키 야마 역 18 분 도보 (1.4km)",,"12 석
(7 개의 카운터 좌석, 4-5 테이블 좌석)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/cantonmadloba/,,,,,"혼자 당신을 즐겁게 할 수 있습니다, 크리스마스 저녁 식사, 당신은 와인, 세련된, 저녁 식사, 쌀, 흡연을 마실 수 있습니다, 당신은 크래프트 맥주, 고급스러운 크리스마스, 크리스마스 2024, 성인 연말 파티, 성인 새해 파티를 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33436087.jpg,,,,,,,,,,,,
ラ メゾン ダミ,La Maison Dami,https://retty.me/area/PRE13/ARE13/SUB704/100000697983/,03-3280-3700,비스트로 와인 바 프랑스 요리,"[월요일부터 금요일까지, 휴일 전]
저녁 식사 18:00-23:00 L.O. 22:00
[태양, 토요일, 휴일]
저녁 식사 17:00-23:00 L.O. 22:00","1 월 1 일, 1 월 2 일, 1 월 3 일, 12 월 31 일","점심 : ~ 3,000 엔
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",,"102 Seiwa Building, 3-4-9 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 4 분 (320m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 11 분 (830m)
JR Yamanote Line / Gotanda Station 12 분 도보 (920m)",없음,40 석,예,"불가능합니다
(상점 입구 근처에 흡연 공간이 있습니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://r.gnavi.co.jp/3tza70v50000/,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스가 있습니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","그는 고기 요리, 요리사가 해외에서 훈련했으며 요리사가 유명한 식당에서 훈련했으며 요리사가 매장 내에서 훈련했습니다.","맥주, 와인, 위스키, 칵테일","날짜, 여자 파티, 모든 링크, 연회 및 음주 파티, 약혼 저녁 식사 파티, 솔로 엔터테인먼트, 성인을위한 장소 숨기기, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 세련된, 개인
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳
테라스가 있습니다",소믈리에가 있습니다,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000697983/archive/1355685-5e01da683bed0.jpg,,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 25 명
임대 할 수있는 제한된 수의 사람들 (좌석) : 32 명",,,불가능합니다,불가능합니다,https://www.instagram.com/lamaisondami,,,없음,불가능합니다,
なっぱ ごちそう,나파 잔치,https://retty.me/area/PRE13/ARE13/SUB704/100000738931/,03-6420-3700,이자카야 이탈리아 요리 파스타 훈제 해산물,"[하루 종일]
 17:00-1:00",하루 종일 개점,"점심:-
저녁 식사 : ~ 5,000 엔",Amex,PayPay,"Megroad B1, 2-26-5 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (85m)
Tokyu Meguro Line / Fudomae Station에서 도보로 12 분 (940m)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",,40 석,"예
(커플 좌석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",https://picnic-with-sugar.com/,,,,,,"데이트 소녀의 밤 연회 및 음주 파티 싱글을위한 개인 방 성인을위한 개인 방은 성별 파티 환영 파티 환영 파티 크리스마스 저녁 파티 연말 파티 새해 파티 마시는 와인 저녁 식사 저녁 식사 비 스틸리브 룸 날짜 세련된 개인 실
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/3177135.jpg,,,,,,,,https://x.com/nappajuicy,,,,
支那ソバ かづ屋,중국 소바 국수 카즈야,https://retty.me/area/PRE13/ARE13/SUB704/100000001529/,03-6420-0668,"라면, 츠키멘, 댄 맨, 쌀 그릇","[하루 종일]
 11:00-23:00
매진되었습니다","하루 종일 개점
매진 된 품목도 있습니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 1,000 엔",불가능합니다,,"3-2-4 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보로 10 분 (760m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (770m)
Tokyu Meguro Line / Musashi-Koyama 역에서 도보 17 분 (1.3km)",,20 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,https://www.kaduya.co.jp/,,,,,,"점심, 솔로, 스타일리쉬, 저녁, 쌀, 맛있고, 싸고, 저렴하지 않은, 세련된, 점심
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/33892690.jpg,,,,,,,,https://x.com/sinasoba_kaduya,,,,
カレバカ世紀,카레 바카 세기,https://retty.me/area/PRE13/ARE13/SUB704/100000040193/,03-3493-8850,카레 서양 음식,"[월요일부터 금요일과 토요일]
점심 11:30-15:00
저녁 식사 17:30-23:00
Rice Curry Roux는 다 떨어지면 일찍 완료 될 수 있습니다.",불규칙한 휴일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,PayPay,"4 층 Myeongdong Building, 1-6-16 Meguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보로 6 분 (440m)
Tokyu Meguro Line / Fudomae 역에서 도보 13 분 (970m)
JR Yamanote Line / Ebisu Station 17 분 도보 (1.3km)",,12 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,"점심, 솔로, 음료 와인, 세련된, 저녁 식사, 금연, 세련된, 점심, 매우 매운, 급여 지불 지불 가능
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/das/-/retty/img_repo/2l/01/14708491.jpg,,,,,,,https://www.instagram.com/karebaka6886/,,,,,
カフェ ショコラパン,카페 초콜릿 빵,https://retty.me/area/PRE13/ARE13/SUB704/100001201018/,03-3493-0757,카페 과자,"[Sun, 수요일, 금요일, 토요일 및 휴일]
점심 11:30-19:00",매주 화요일 매주 월요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔",불가능합니다,,"4-28-14 Nishi-Gotanda, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메 구로 라인 / 푸 도마 역에서 도보로 3 분 (170m)
JR Yamanote Line / Meguro 역에서 도보 13 분 (980m)
도쿄 메 구로 라인 / 무사시-코야마 역 13 분 (1.0km)",,"16 석
(카운터 좌석 4, 테이블 좌석 12)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/cafechocolapin,,,,,"점심, 솔로, 성인을위한 은신처, 체리 꽃보기, 벚꽃, 세련된, 저녁, 쌀, 비소, 세련된 점심을 볼 수있는 레스토랑.
다른 사용 장면을 참조하십시오",,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/29321014.jpg,,,,,,,,,,,,
キッチンセロ,주방 첼로,https://retty.me/area/PRE13/ARE13/SUB704/100000011315/,03-5791-5715,와인 바 스페인 고기 바 서쪽 음식,"[월요일부터 금요일과 토요일]
 17:00-1:00","매주 일요일
・ 새해 공휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1F, 오바 빌딩, 2-13-44 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 2 분 (120m)
도쿄 메트로 남보쿠 라인 / 시로 카네이 스테이션에서 도보 13 분 (980m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)",없음,"24 석
(4-5 명 x 2)","예
(13 석)","불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,맥주와 와인이 있습니다,"연회/음주 파티 작별 파티를 환영 파티 연말 파티 연말 파티 새해 파티 와인 음료 저녁 식사 저녁 식사 비 흡연 페이 페이 지불 이용 가능한 성인 데이트 세련된 메리 쿠리 크리스마스 2024
다른 사용 장면을 참조하십시오",차분한 분위기,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/27592715.jpg,,,코스는 상담해야합니다,사용 가능한 예약,,,,,,,,
すし処 佐藤,sushidokoro sato,https://retty.me/area/PRE13/ARE13/SUB704/100000073971/,03-5721-0244,초밥 사시미 테이크 아웃,"[Sun, 화요일, 금요일, 토요일 및 휴일]
 18:00-23:00 L.O. 22:00",매주 월요일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
Amex
식당
JCB",,"Kajiura Building 2F, 3-5-1 Shimomeguro, Meguro-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Meguro Line / Fudomae 역에서 도보로 9 분 (660m)
JR Yamanote Line / Meguro 역에서 도보 10 분 (770m)
도쿄 메 구로 라인 / 무사시-코야마 역 16 분 (1.3km)",,12 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://www.facebook.com/sato.sushidocoro/,,,,,싱글 OK 엔터테인먼트 크리스마스 저녁 식사 저녁 식사 저녁 식사 저녁 식사 비 스며 든,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/16960909.jpg,,,,사용 가능한 예약,,,,,,,,
旬和膳 きゅう-Japanese restaurante-,계절 식사 - 일본 식당 -,https://retty.me/area/PRE13/ARE13/SUB704/100001258763/,03-3490-2143,카포/작은 식당 세트 식사 오반자이 일본 음식,"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-24:00",매주 일요일,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"시마다 빌딩 B1, 2-24-10 Kamiosaki, Shinagawa-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Meguro 역에서 도보 3 분 (210m)
도쿄 메 구로 라인 / 푸 도마 스테이션 14 분 도보 (1.1km)
도쿄 메트로 남보쿠 라인 / 시로 카네이이 역 16 분 (1.2km)",없음,"30 석
(좌석 20-30)",예,"예
흡연은 전체적으로 허용됩니다 (가열 담배 만 해당)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
4 명
6 명
7 명 이상",,,,"4,000 엔에서 4,999 엔, 2 시간 동안 싱글 링크를 포함하는 코스가 있습니다.",우리는 고기 요리와 생선 요리에 대해 특히 알고 있습니다,"맥주, 사케, 쇼치, 와인, 위스키","개인 객실, 약혼 저녁 식사 파티, 솔로 손님, 엔터테인먼트, 크리스마스 저녁 식사, 음료수, 아이들과 함께 즐기기
다른 사용 장면을 참조하십시오",,,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/34299757.jpg,,예,,사용 가능한 예약,예,,,,,,,
