식당 이름,번역된 식당 이름,URL,텔,장르,영업 시간,닫힌 날,예산,신용 카드,IC 카드 지불,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,전화 번호,영상,인스 타 그램,외국어 지원,QR 코드 결제,발언,페이스 북,X (트위터),추가 장비,온라인 예약,맥주 제작자
東洋軒 東京ステーション,도코 도쿄 역,https://retty.me/area/PRE13/ARE15/SUB1504/100001552460/,03-3214-2882,"서양식 음식, 카레, 햄버거, 스테이크","[월요일부터 목요일과 토요일]
 10:00-22:00 L.O. 21:00
[금]
 10:00-22:30 L.O. 21:30
[낮]
 10:00-21:30 L.O. 20:30
*아침 시간은 10:00에서 11:00이며 티 타임은 15:00에서 17:00입니다.","불규칙한 휴일
짐 시간은 하루에 따라 다를 수 있습니다","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1-9-1 Marunouchi, Chiyoda-Ku, 도쿄, JR 이스트 도쿄 역 B1, Gransta 내부
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 1 분 거리 (70m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보로 4 분 거리 (310m)",없음,"35 석
(24 테이블 / 11 개 카운터 시트)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,https://toyoken-gransta.com/index.html,,,,,,"점심, 솔로, 엔터테인먼트, 크리스마스 저녁 식사, 와인 음료, 브런치, 세련된, 저녁 식사, 쌀, 고기, 비 흡연, 세련된 점심, 무료 Wi-Fi, 스타일리쉬, Merikuri, 크리스마스 2024
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001552460/archive/3471977-6750b8ff923d2.png,,,,,,,,,
scent house,향기 집,https://retty.me/area/PRE13/ARE15/SUB1504/100001184523/,03-3201-1991,식당 바 바,"[월요일부터 금요일, 토요일, 휴일 전]
점심 11:30-15:00 L.O. 14:30
저녁 식사 17:00-23:00 L.O. 22:00",매주 일요일과 공휴일,"점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔",Amex,,"1-1-3 Marunouchi, Chiyoda-ku, 도쿄 니폰 라이프 마루치 가든 타워 2f
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역에서 도보 1 분 (44m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (280m)
JR Yamanote Line / 도쿄 역에서 도보로 5 분 (340m)",,85 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://scent-house.com/,,,,,,"점심, 데이트, 개인 객실, 싱글 룸, 아름다운 나이트 뷰 레스토랑, 크리스마스 저녁 식사, 세련된, 저녁 식사, 저녁 식사, 비 흡연, 개인 실, 점심, 점심 날짜, 세련된, 개인 객실
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100001184523/archive/2980966-63eca7697d362.jpg,,,PayPay,,,,,,
アマルフィイ・モデルナ,Amalfi Moderna,https://retty.me/area/PRE13/ARE15/SUB1504/100000033867/,03-5223-8331,이탈리아 파스타,"[하루 종일]
점심 11:00-15:00 L.O. 14:30
[금요일, 토요일, 휴일 전, 휴일 전]
저녁 식사 17:00-22:00 L.O. 21:00","불규칙한 휴일
1/1
Marunouchi Oazo와 동일합니다","점심 : ~ 5,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
Amex
식당
JCB","Suica, Quicpay","Marunouchi Oazo 5f, 1-6-4 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 2 분 (86m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (120m)에서 도보 2 분","예
이웃 P (할인) 사용 가능",52 석,없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",불가능합니다,,"4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 5,000 엔 이상, 2 시간의 싱글 링크",,"맥주, 와인, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 파티, 모든 링크, 연회 및 음주 파티, 개인 객실, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 주차 가능
다른 사용 장면을 참조하십시오","차분한 분위기
상단에 있습니다
운송 시설에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",없음,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,불가능합니다,없음,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000033867/archive/1853585-5f5de4c39ab93.jpg,,,,,,,,,
リゴレット ワインアンドバー,리고 레토 와인과 바,https://retty.me/area/PRE13/ARE15/SUB1504/100000741938/,03-6270-0520,이탈리아 요리 햄버거 카페,"[월요일부터 금요일, 토요일, 휴일 전]
 11:00-24:00
[일요일과 휴일]
 11:00-22:00
자세한 내용은 공식 웹 사이트를 확인하십시오.","불규칙한 휴일
시설과 동일합니다
신 마루 빌딩과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"1-5-1 Marunouchi, Chiyoda-Ku, 도쿄, 신 Marunouchi 건물, 7f Marunouchi House
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (200m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (220m)",,115 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
7 명 이상",,https://www.huge.co.jp:443/restaurant/rigoletto,,,,,,"점심, 데이트, 여자 야간 파티, 연회 및 음주 파티, 솔로 손님을위한 OK, 아름다운 야간 전망, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 와인, 세련된, 저녁 식사, 금연
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000741938/archive/2101891-5fb4f576f3c4b.png,,,PayPay,,,,,,
過門香 KITTE丸の内店,Kammonka Kitte Marunouchi 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000796738/,03-5220-5155,중국 음식,자세한 내용은 공식 웹 사이트를 확인하십시오.,하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 8,000 엔","비자
마스터 카드
식당
JCB",,"JP 타워 6f, 2-7-2 마루치치, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보 1 분 (61m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 4 분 거리 (300m)",,104 석,없음,"예
(흡연은 개인 실에만 허용됩니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명
7 명 이상",,,,,,,,"데이트 여자 파티 모든 싱크 파티 연회/음주 파티 개인 객실 약혼 저녁 식사를위한 싱글 손님을위한 좋아요.
다른 사용 장면을 참조하십시오",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000796738/archive/1946772-5f83b8e6768e4.png,,,,,,,,,
どん 薩摩,돈 사츠마,https://retty.me/area/PRE13/ARE15/SUB1504/100001436474/,03-6256-0404,이자카야 해산물과 해산물,"[하루 종일]
점심 11:00-14:30 L.O. 14:00
[월요일부터 금요일과 토요일]
저녁 식사 16 : 30-23 : 00 L.O. 22:00
[일요일과 휴일]
저녁 식사 16 : 30-22 : 00 L.O. 21:00","하루 종일 개점
Marubiru와 동일합니다","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔",예,,"Maruburi 6f, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (46m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (220m)",예,53 석,예,"예
(점심 : 완전히 금연 (저녁 식사) 카운터 좌석 : 금연 테이블 좌석 : 흡연 마루 빌딩의 6 층에는 흡연 공간이 있습니다.
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.marunouchi.com/tenants/9754/,"2,999 엔 미만, 3,000 ~ 3,999 엔 코스, 4,000 ~ 4,999 엔 코스가 있습니다.","2,999 엔 미만의 싱글 링크, 3,000 엔에서 3,999 엔을위한 싱글 링크를 포함하는 코스, 4,000 엔에서 4,999 엔을위한 코스가 포함 된 코스가 있습니다.","우리는 고기 요리, 생선 요리 및 식품 생산 공간에 특히 그렇습니다.","맥주, 사케, 쇼치, 와인",사용 가능한 예약,"점심 모든 당신이 마시는 연회와 음주 파티 싱글 싱글 싱글 파티 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 음주 음료 와인 아이들과 함께 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001436474/archive/606438-5be288a10b996.jpg,,,,,https://www.facebook.com/pages/category/bar/don satsuma-265007524131347/,,,,
NIHONBASHI BREWERY. T.S,Nihonbashi 양조장. T.S,https://retty.me/area/PRE13/ARE15/SUB1504/100001386315/,03-6256-0056,식당 바 이탈리아 바 햄버거 맥주 레스토랑,"[월요일부터 금요일과 토요일]
 11:00-23:00 L.O. 22:00
[일요일과 휴일]
 11:00-22:00 L.O. 21:00","불규칙한 휴일
건물의 새해 휴일 및 법적 검사 날짜","점심 : ~ 2,000 엔
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
JCB",,"1-11-1 Marunouchi, Chiyoda-Ku, 도쿄, 태평양 세기 장소 Marunouchi 1f, 내부 과립
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (60m)
도쿄 메트로 유라쿠코 라인 / Ginza 1-Chome Station에서 도보 4 분 (320m)
도쿄 메트로 긴자 라인 / 키오바시 (도쿄) 역에서 도보로 5 분 거리 (340m)",예,"80 석
(서있는 파티도 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,"점심으로 점심으로 마시는 연회 및 음주 파티 싱글은 괜찮아 작별 파티 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마실 수 있습니다.
다른 사용 장면을 참조하십시오",,,,,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100001386315/archive/762983-5c8b0d1a55ac0.jpg,,,PayPay,,,,,,
くわ焼・鉄板焼 九志焼亭 大手町店,Kuwayaki/Teppanyaki Kushiyakitei Otemachi 지점,https://retty.me/area/PRE13/ARE15/SUB1504/100001297249/,03-6262-5370,테파 냐키 서부 푸드 햄버거,"[하루 종일]
점심 11:00-15:00
저녁 식사 17:00-23:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 8,000 엔",Amex,,"1-9-2 Otemachi, Chiyoda-Ku, 도쿄 오타 마시 금융 도시 그랜드 큐브 B1F-B110
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (120m)에서 도보 2 분
도쿄 메트로 토 자이 라인 / 테이크 바시 스테이션 6 분 (450m)",,32 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,,,"점심, 개인 실, 저녁 식사, 쌀, 비 금연, 개인 실, 점심, 급여 지불 지불 수락",,,,,,,,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_repo/2l/01/28197921.jpg,,,PayPay,,,,,,
BREEZE OF TOKYO,도쿄의 바람,https://retty.me/area/PRE13/ARE15/SUB1504/100000747536/,03-5220-5551,프랑스 요리 카페,"[하루 종일]
점심 11:00-15:30 L.O. 14:30
[월요일부터 금요일까지]
저녁 식사 18:00-23:00 L.O. 21:00
[토양]
저녁 식사 17:00-23:00 L.O. 21:00
[일요일과 휴일]
저녁 식사 17:00-22:00 L.O. 20:00","불규칙한 휴일
정규 휴가가 공휴일이면 문을 엽니 다","점심 : ~ 3,000 엔
저녁 식사 : ~ 10,000 엔","비자
마스터 카드
식당
JCB",,"Marunouchi Building 36F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (220m)","예
이웃 P (할인) 사용 가능","78 석
((연회 및 파티에 앉아 : 78 명)))))))))",예,"불가능합니다
(흡연 없음, 바닥의 흡연 구역)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
임대 가능 (좌석) : 78 명
예약 할 수있는 제한된 수의 사람들 (스탠드 식사) 100 명","https://breezeoftokyo.com/
http://breezeoftokyo.com/","8,000 엔 이상의 코스",,"우리는 야채 요리, 고기 요리, 생선 요리, 알레르기가있는 고객을 수용 할 수 있으며 요리사는 해외에서 훈련 한 경험이 있습니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 데이트, 여자 야간 파티, 결혼 기념일, 연회 및 음주 파티, 약혼 저녁, 싱글, 엔터테인먼트, 엔터테인먼트, 아름다운 야간 전망이있는 레스토랑, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 와인 음주
다른 사용 장면을 참조하십시오","보기가 좋습니다
풍경은 아름답습니다
개방성이 있습니다
천장이 높습니다
조용한 가게
차분한 분위기
나이트 뷰를 볼 수 있습니다
상단에 있습니다
상업용 시설에 위치합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
소믈리에가 있습니다
복장 규정 포함",,불가능합니다,불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000747536/archive/1221717-5db7d01698f3d.jpg,,"영어
언어 지원 메뉴가 있습니다",,,https://www.facebook.com/breezeoftokyo,,,,
ジャックポット 丸の内,잭팟 마루치,https://retty.me/area/PRE13/ARE15/SUB1504/100000742081/,03-6267-0008,Izakaya Oyster Bar Bar Pasta 해산물 및 해산물,"[월요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
저녁 식사 17:00-23:00 L.O. 22:00
[토양]
 12:00-23:00 L.O. 22:00
[일요일과 휴일]
 12:00-22:00 L.O. 21:00
팔리 자마자 끝납니다","하루 종일 개점
12 월 31 일, 12 월 31 일, 새해 첫 번째 일요일","점심 : ~ 1,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",Suica,"2-3-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 메트로 치 요다 라인 / Nijubashimae 역에서 도보로 1 분 (42m)
도쿄 메트로 마루치 노선 / 오타 마치 (도쿄) 역 (160m)에서 도보 2 분
JR Yamanote Line / 도쿄 역에서 도보로 3 분 (170m)","없음
이웃 P (할인) 사용 가능",30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,예,https://www.jack-pot.co.jp/,"4,000 엔 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을 이용할 수 있으며 2 시간 동안 온 All-You-Can-Drink가 있습니다.","우리는 야채 요리, 생선 요리, 매장 내에서 준비된 것입니다.","맥주, 술, 와인, 위스키, 칵테일",사용 가능한 예약,"점심으로 점심으로 먹는다 당신이 흠뻑 젖은 연회와 술을 마시는 파티는 솔로 작별 파티를 위해 이용할 수있는 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티 술 마시는 와인을 마시는 아이들 세련된 주차장이 있습니다.
다른 사용 장면을 참조하십시오",숨는 곳,"음료를 가져올 수 있습니다
테이크 아웃 가능성
배송 가능",,예,,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/q80/das/-/retty/img_ebisu/restaurant/100000742081/archive/193873-59015d00b0978.jpg,,,PayPay,,,,,,
小岩井農場TOKYO 丸の内ビル店,코이 와이 농장 도쿄 마루치 건물 매장,https://retty.me/area/PRE13/ARE15/SUB1504/100000450242/,03-5224-3070,"서양식 음식, 오믈렛 라이스, 비스트로, 햄버거","[하루 종일]
점심 11:00-15:00 L.O. 14:00
저녁 식사 17:00-22:00 L.O. 21:00
폐쇄 : Maru Building의 폐쇄 일과 동일합니다","불규칙한 휴일
marubiru와 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
식당
JCB",,"Marunouchi Building 5F, 2-4-1 Marunouchi, Chiyoda-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / 도쿄 역에서 도보로 1 분 (45m)
도쿄 메트로 치 요다 라인 / Nijubashimae Station에서 도보로 3 분 거리 (180m)
도쿄 메트로 마루치 라인 / 오타 마치 (도쿄) 역에서 도보로 3 분 거리 (220m)","예
특별 P 사용 가능","55 석
(개인 실, 9-12 명 x 1 5-8 명 *최소 청구 이용 가능, 당사에 문의하십시오)",없음,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,https://www.koiwai.co.jp/restaurant/kftokyo/,"2,999 엔, 4,000 ~ 4,999 엔 코스, 5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스, 7,000 ~ 7,999 엔 코스, 8,000 엔 또는 더 많은 코스가 있습니다.","ALL-YOU-CAN-DRINK 가격 : 3,000 엔 -4,999 엔, 5,000 엔 이상, 2 시간 씩 온전한 링크",,,사용 가능한 예약,"점심 모든 란드 링크 연회/음료 파티 개인 객실 약혼 저녁 식사 싱글 손님 엔터테인먼트 레스토랑 아름다운 야간 전망과 함께 즐겨 찾기 파티 환영 파티 크리스마스 저녁 파티 새해 파티 술 마시는 와인
다른 사용 장면을 참조하십시오","풍경은 아름답습니다
나이트 뷰를 볼 수 있습니다
상단에 있습니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다
테이크 아웃 가능성",없음,,불가능합니다,,예,,https://ximg.retty.me/crop/s388x388/q80/q80/das/-/retty/img_ebisu/restaurant/100000450242/archive/1937321-5f7fcd5504683.png,,,PayPay,,,,,,
