식당 이름,번역된 식당 이름,텔,장르,영업 시간,닫힌 날,예산,신용 카드,QR 코드 결제,주소,입장,주차,좌석,카운터 좌석,흡연,개인 실,사적인,상점 웹 사이트,발언,강의,당신이 마실 수있는 모든 것,요리 기능과 전문 분야,마시는 기능과 세부 사항에 대한 관심,예약,사용 장면,대기,서비스,드레스 코드,아이들이 들어 오세요,애완 동물,전원 공급 장치 사용,Wi-Fi 사용,외국어 지원,전화 번호,쇼핑 직무 정보,페이스 북,X (트위터),추가 장비,인스 타 그램,IC 카드 지불,인근 시설,맥주 제작자
ジンギスカン 羊一 渋谷店,Jingisu Khan Yoichi Shibuya 매장,03-6427-8429,이자카야 징지수 칸,"[월요일부터 금요일까지]
 17:00-23:30 L.O. 22:45
[태양, 토요일, 휴일]
 16:00-23:30 L.O. 22:45","하루 종일 개점
새해 휴일 (확인하십시오)
우리는 12 월 31 일부터 1 월 4 일까지 문을 닫습니다.","점심:-
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"Dogenzaka Yanagimitsu 빌딩 1f, 2-20-9 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (290m)
Keio Inokashira Line / Shinsen 역에서 도보로 5 분 (350m)","없음
근처 (할인 없음) 사용 가능","34 석
(충격적인 Kotatsu 좌석)",예,"예
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,"예
예약 할 수있는 사람의 수에 대한 최저 한도 (앉음) : 28 명
최대 40 명을 임대 할 수 있습니다","https://www.youichi.jp/
https://yoyaku.toreta.in/youichi/#/",,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000-1,999 엔, 3,000-3,999 엔 All-You-Can-Drink 코스에는 All-You-Can-Drink, 4,000-4,999 엔 All-You-Can-Drink 코스에는 1 시간 동안 2 시간 동안 All-You-Can-Drink가 포함되어 있습니다. 2 시간 동안 2 시간 동안 2 시간 동안 2 시간 동안 완전히 마감 할 수 있습니다.","우리는 야채 요리, 고기 요리, 수입 재료, 현지에서 생산 된 재료 및 매장 내에서 준비된 것입니다.","맥주, 사케, 쇼치, 와인, 위스키",사용 가능한 예약,"날짜가 다조화 된 연회 및 음주 파티 싱글 OK 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 와인을 마시는 주차장이 있습니다.
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
음료를 가져올 수 있습니다",,"예
유아, 유치원 어린이, 초등학생을 환영합니다",불가능합니다,예 (무료),없음,"영어 중국어
직원과 함께 언어 지원 메뉴가 있습니다",,,https://www.facebook.com/jingikanyoichi/,,사운드 장비 사용 가능,,"Suica, Rakuten Edy",,
金の餃子酒場,골든 gyoza 바,03-5422-3258,Gyoza Izakaya,"[하루 종일]
 11:00-5:00",하루 종일 개점,"점심 : ~ 1,000 엔
저녁 식사 : ~ 4,000 엔",,PayPay,"2-28-5 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 2 분 (140m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (440m)",,,,,,,,,,,,,,"첫 번째 열차 저녁 식사가 열릴 때까지 점심 오픈 밤에 늦게 지불금 지불 지불 이용 가능 캐주얼 요리는 빠르고 쉬운 새해 파티를위한 빠르고 쉬운 연말 파티 요리를 위해 캐주얼 요리합니다.
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
和食割烹 やまぼうし,일본 카포 야마바시,03-5962-7562,카포/작은 식당,,,"점심 : ~ 2,000 엔
저녁:-",,,"2f, 3-14-3 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보 4 분 (280m)
도쿄 도요코 라인 / 다이키 야마 역에서 도보로 12 분 (890m)",,,,,,,,,,,,,,"세련된 캐주얼, 빠르고 상쾌한 새해 파티, 빠르고 쉬운 연말 파티",,,,,,,,,,,,,,,,,
烏蝿館 渋谷店,Karabaekan Shibuya 상점,070-9213-4510,중국 음식 사천 음식,,,"점심 : ~ 2,000 엔
저녁 식사 : ~ 3,000 엔",,,"시부야 다이아몬드 빌딩 1f, 2-28-3 Dogenzaka, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 도보 2 분 (150m)
Keio Inokashira Line / Shinsen 역에서 도보 6 분 (440m)",,,,,,,,,,,,,,"매우 매운, 바삭 바삭한, 연말 파티, 바삭 바삭한, 새해 파티, 캐주얼",,,,,,,,,,,,,,,,,
お好み焼き いまり 渋谷店,Okonomiyaki Imari Shibuya 지점,03-6416-4017,Okonomiyaki Teppanyaki Izakaya,"[월요일부터 금요일까지]
 18:00-1:00 L.O. 24:00
[태양, 토요일, 휴일]
 17:00-1:00 L.O. 24:00","하루 종일 개점
・ 새해 공휴일 (확인하십시오)","점심:-
저녁 식사 : ~ 4,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1f M.C.D.Bld, 17-10 Sakuragaokacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station (190m)에서 도보로 3 분",없음,30 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,"2,999 엔 미만의 코스",,,"맥주, 사케, 쇼치, 와인, 위스키, awamori",사용 가능한 예약,"연회 및 음주 파티 솔로 성인을위한 OK Farewell 파티를 환영 파티 크리스마스 저녁 식사 연말 파티 새해 파티를 마시는 와인을 마시는 와인을 마시는 와인 저녁 식사 쌀 비영리 쇼치.
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳","테이크 아웃 가능성
배송 가능",없음,예,,,없음,,,,https://www.facebook.com/imarishibuya,,,,,,
N9Y 奥渋店,N9y Okushibu 상점,03-5738-8315,양고기 햄버거,자세한 내용은 공식 웹 사이트를 확인하십시오.,"하루 종일 개점
가게가 닫히면 상점에 확인하십시오.
새해 휴일 (확인하십시오)","점심 : ~ 3,000 엔
저녁 식사 : ~ 5,000 엔","비자
마스터 카드
Amex
식당
JCB",,"1F Okubo Building, 37-11 Udagawacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya 역에서 도보로 6 분 (460m)
Keio Inokashira Line / Shinsen 역에서 도보 8 분 (580m)
도쿄 메트로 치 요다 라인 / 요요기 코엔 스테이션에서 도보로 12 분 (890m)",예,67 석,예,"불가능합니다
흡연실 사용 가능
(흡연실은 상점에서 이용 가능합니다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
두 사람을 위해
4 명",예,https://n9y-okushibu.owst.jp/,,"3,000 엔 ~ 3,999 엔 코스, 4,000 엔에서 4,999 엔 코스, 5,000 ~ 5,999 엔 코스로 구입할 수 있습니다.","ALL-YOU-CAN-DRINK 가격 : 1,000 엔 -1,999 엔, 2 시간 전후 2 시간, 2 시간 30 분 만에 다소 링크, 3 시간 이상","우리는 야채 요리, 고기 요리, 식품 생산 공간, 유기농 야채 및 매장 내 준비에 특별합니다.","맥주, 사케, 쇼치, 와인, 위스키, 칵테일",사용 가능한 예약,"싱글 싱글 싱글 링크/음료 파티 개인 객실 약혼 저녁 식사 싱글 엔터테인먼트 성인을위한 좋아요 엔터테인먼트 성인을 위해 괜찮아
다른 사용 장면을 참조하십시오","차분한 분위기
숨는 곳
골목을 향합니다","놀라운 응답 가능
축하 가능성
소믈리에가 있습니다
테이크 아웃 가능성",,"예
유아와 어린이, 유치원 어린이, 초등학생, 이유식을 가져올 수 있습니다.",불가능합니다,,예,"영어
직원과 함께 언어 지원 메뉴가 있습니다",,,,,,,,,
オステリアウララ,오스테리아 우라 라,050-5304-6287,이탈리아 요리,"[월요일, 수요일부터 금요일까지]
점심 11:30-14:30 L.O. 14:00
[월요일, 수요일, 금요일, 토요일, 휴일]
저녁 식사 18:00-23:00 L.O. 22:00
[토요일/휴일]
점심 11 : 30-15 : 00 L.O. 14:00
영업 시간은 하루에 따라 다를 수 있습니다","매주 일요일
새해 휴일 (확인하십시오)
일요일에 문을 닫았습니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",예,PayPay,"1f, 2f, Yugate Building, 1-3 Sarugakucho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
도쿄 도요코 라인 / 도이키 야마 역에서 도보로 8 분 (640m)
JR Yamanote Line / Shibuya Station 10 분 도보 (730m)
JR Yamanote Line / Ebisu Station 12 분 도보 (950m)",없음,"40 석
(1 층에는 20 석, 2 층에는 20 석, 개인 실 (최대 6 명))",예,"예
(흡연 별도)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보","예
6 명","예
최대 20 명까지 임대 할 수 있습니다
예약 할 수있는 제한된 수의 사람들 (스탠드 스탠딩 식사) 30 명","[공식적인]
https://osteeriaurara.foodre.jp/
http://www.osteria-urara.jp/
https://tabelog.com/tokyo/a1303/a130301/13136881/","아이들과 함께 방문하는 경우 알려주십시오.
예약에 관한 요청과 함께 문의하십시오.

*개인 용도로 예약 한 경우 최소 보증 금액은 월요일부터 목요일까지 75,000 엔, 금요일과 토요일에는 96,000 엔입니다.","5,000 ~ 5,999 엔 코스, 6,000 ~ 6,999 엔 코스로 제공됩니다.","5,000 엔 이상을위한 전산 된 코스가 포함되어 있으며, 2 시간 동안 온 All-You-Can-Drink, 2.5 시간 동안 온 All-You-Can-Drink, 3 시간 이상 싱글 링크가 있습니다.","우리는 야채 요리, 고기 요리, 생선 요리, 현지 성분, 알레르기, 채식 메뉴, 요리사가 해외에서 훈련을 받고 매장 내 준비를 할 수 있습니다.","맥주, 와인, 칵테일",사용 가능한 예약,"날짜, 소녀의 밤, 세련된, 저녁 식사, 개인 실, 연회, 연회 및 음주 파티, 식사, 연말 파티, 새해 파티, 지불금 지불 가능, 크리스마스 저녁 식사, 환영 파티, 점심 음주, 세련된, 성인 날짜, 성인 파티, 성인 연말 파티
다른 사용 장면을 참조하십시오","활발한 상점
숨는 곳","놀라운 응답 가능
축하 가능성",없음,,불가능합니다,,없음,,03-5459-2155,,https://www.facebook.com/osteriaurara/,,,,,,
韓の台所 別邸,한국 주방 공연장,03-5489-7655,Yakiniku 호르몬 한국 요리,"[하루 종일]
점심 11:30-15:00 L.O. 14:30
[선, 월요일부터 목요일, 휴일]
저녁 식사 17:30-22:00 L.O. 21:30
[금과 앉았다]
저녁 식사 17:30-22:30 L.O. 22:00",하루 종일 개점,"점심 : ~ 2,000 엔
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"7 층, Dogenzaka Center Building, 2-29-8 Dogenzaka, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 1 분 거리 (60m)
Keio Inokashira Line / Shinsen Station에서 도보 7 분 (520m)","없음
근처 (할인 없음) 사용 가능",140 석,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",예,,,,,,고기 요리 전문,,,"점심, 데이트, 모든 링크, 연회 및 음주 파티, 개인 객실, 참여 방, 싱글, 엔터테인먼트, 엔터테인먼트, 작별 파티, 환영 파티, 크리스마스 저녁 식사, 연말 파티, 새해 파티, 주차장, 스타일리쉬 디너
다른 사용 장면을 참조하십시오",,,없음,,,,,,,,,,,,,,
KURA 渋谷店,쿠라 시부야 상점,03-5466-1010,파스타 식당 바 이탈리아 요리 카페,"[하루 종일]
 11:30-22:30 L.O. 22:00
마감 시간은 하루에 따라 다를 수 있습니다
자세한 내용은 공식 웹 사이트를 확인하십시오.","1 월 1 일, 1 월 2 일, 1 월 3 일, 1 월 4 일, 12 월 29 일, 12 월 31 일,
새해 휴일 (확인하십시오)","점심 : ~ 1,000 엔
저녁 식사 : ~ 2,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"1-24-7 시부야, 시부야 쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (56m)",없음,38 석,예,"불가능합니다
(완전히 금연 (입구의 흡연 구역 폐지)))))))
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,불가능합니다,https://www.kura-jp.com/,,"2,999 엔 미만, 3,000 엔 ~ 3,999 엔",,고기 요리 전문,"맥주, 쇼카, 와인, 위스키, 칵테일",사용 가능한 예약,"점심, 연회 및 음주 파티, 싱글은 괜찮아, 작별 파티, 환영 파티, 벚꽃 시청 및 벚꽃, 연말 파티, 새해 파티, 와인을 마시고, 어린이와 함께 즐기기, 세련된 저녁 식사, 맛있는 레스토랑, 싼 식당.
다른 사용 장면을 참조하십시오",차분한 분위기,,,예,,,없음,,,,,,,,,,
もへじ,모헤 지,03-6805-1518,Monjayaki Okoyaki,"[하루 종일]
 11:00-23:00 L.O. 22:00","명확하지 않습니다
・ 시설과 동일합니다","점심 : ~ 2,000 엔
저녁 식사 : ~ 5,000 엔",,,"시부야 스크램블 스퀘어 12f, 2-24-12 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Jr Yamanote Line / Shibuya Station에서 1 분 도보 (26m)",,,예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",,,https://www.shibuya-scramble-square.com/shops_restaurants/detail.html?shop_id=77,,,,,,,"점심, 데이트, 솔로, 크리스마스 저녁 식사, 세련된 저녁 식사, 저녁 식사, 금연, 점심 날짜, 세련된, 성인 데이트, 캐주얼, 성인 연말 파티, 성인 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
荒木山,아라키 산,03-6416-1748,야키토리 소바 (Soba),"[월요일부터 금요일, 토요일, 휴일]
저녁 식사 17:00-20:00 L.O. 19:00",매주 일요일,"점심 : 비즈니스 시간
저녁 식사 : ~ 6,000 엔","비자
마스터 카드
Amex
식당
JCB",PayPay,"6-11 Maruyamacho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 2 분 (92m)
JR Yamanote Line / Shibuya Station에서 도보로 6 분 (430m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보로 12 분 (950m)",,33 석,예,"불가능합니다
(흡연은 가게 밖에 서있다)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,"https://r.gnavi.co.jp/gd9xx8c30000/
https://tabelog.com/tokyo/a1303/a130301/13207485/",,,,,,,"데이트 싱글 싱글 링크 연회 및 술 파티 약혼 저녁 식사 싱글 엔터테인먼트 성인을위한 좋아요 엔터테인먼트 성인 은신처 파티 환영 파티 크리스마스 저녁 파티 새해 파티 마시기 와인 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
神泉ホルモン 三百屋,Shinsen Hormone Sangrim,03-3477-1129,호르몬,"[월요일부터 금요일까지]
 18:00-3:00 L.O. 2:00
[태양/토요일]
 17:00-3:00 L.O. 2:00
[축하해요]
 17:00-24:00","불규칙한 휴일
[Obon Holiday] 8/13-8/15
[새해 휴일] 12/30-1/2","점심:-
저녁 식사 : ~ 6,000 엔",Amex,,"12-4 Jinsencho, Shibuya-Ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Keio Inokashira Line / Shinsen Station에서 도보 3 분 (190m)
JR Yamanote Line / Shibuya 역에서 도보로 9 분 (680m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 10 분 (780m)",,30 석,예,"예
(수동 흡연 조치 (Advanced Health Promotion Act)에 관한 법률은 2020 년 4 월 1 일부터 발효되었습니다. 최신 정보는 상점에 문의하십시오.)
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"날짜 연회 및 음주 파티 참여 저녁 식사 싱글 엔터테인먼트 작별 파티를 환영 파티를 환영합니다. 크리스마스 저녁 식사 연말 파티 새해 파티 술을 마시는 와인을 마시는 세련된 저녁 식사 흡연 허용
다른 사용 장면을 참조하십시오",,,,,,,,,,,https://www.facebook.com/sanbyakuya,,,,,,
ステーキライスの店 センタービーフ 渋谷宮益坂店,스테이크 라이스 레스토랑 센터 쇠고기 시부야 미야 마수 자카 지점,03-5467-5150,스테이크,"[월요일부터 금요일까지]
점심 11:00-15:00
저녁 식사 17:30-22:00
[태양, 토요일, 휴일]
 11:00-22:00",명확하지 않습니다,"점심 : ~ 2,000 엔
저녁 식사 : ~ 2,000 엔",,PayPay,"1F 시부야 빌딩, 707, 1-12-14 시부야, 시부야-쿠, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
JR Yamanote Line / Shibuya Station에서 도보로 1 분 (74m)",,"12 석
(카운터 만)","예
(카운터 만)",,없음,,https://ring-bell.co.jp/shop.php,,,,,,,"점심, 솔로, 스타일리시, 저녁 식사, 쌀, 고기, 세련된, 점심, 점심, 지불금 지불 가능, 캐주얼, 바삭 바삭한, 연말 파티, 선명한, 새해 파티
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
吟家,진의 가족,03-3424-4545,일본 요리 해산물과 해산물,"[tue-fri-sat]
 18:00-27:00 L.O. 26:30
[thu, fri, sat]
 11:45-13:00 L.O. 13:00
[일요일과 휴일]
 18:00-23:00 L.O. 22:30",매주 월요일,"점심:-
저녁 식사 : ~ 6,000 엔",Amex,PayPay,"3-13-2 Ikejiri, Setagaya-ku, 도쿄
큰지도를보십시오","■ 스테이션에서 접근
Tokyu Denentoshi Line / Ikejiri Ohashi 역에서 도보로 9 분 (690m)
Keio Inokashira Line / Komaba Higashidaimae Station에서 도보 15 분 (1.1km)
Tokyu Denentoshi Line / Sangenjaya Station 도보 15 분 (1.2km)",,"10 석
(코로나 바이러스의 영향으로 인해 좌석 수가 감소하고 있습니다.)",예,"불가능합니다
*건강 증진법의 개정으로 인해 흡연 정보가 업데이트되지 않을 수 있습니다. 올바른 정보는 상점에 확인하십시오.
[?] 흡연 및 흡연 중단에 관한 정보",없음,,,,,,,,,"점심, 연회 및 음주 파티, 약혼 저녁 식사, 싱글 OK, 엔터테인먼트, 성인 은신처, 작별 파티, 환영 파티, 크리스마스 저녁, 연말 파티, 새해 파티, 술, 와인, 세련된 저녁 식사
다른 사용 장면을 참조하십시오",,,,,,,,,,,,,,,,,
